Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73185.82889,946312.6039,1.17E+08,1.17E+08
1,160553.0042,1031816.888,1.14E+08,1.14E+08
2,202757.4111,1074428.663,1.12E+08,1.12E+08
3,166077.2678,1038318.987,1.13E+08,1.13E+08
4,160727.3239,1032216.814,1.14E+08,1.14E+08
5,197328.5156,1068837.01,1.13E+08,1.13E+08
6,162859.1356,1035112.266,1.14E+08,1.14E+08
7,232216.6011,1103764.746,1.13E+08,1.13E+08
8,178574.9919,1050367.677,1.14E+08,1.14E+08
9,154152.2994,1025870.591,1.14E+08,1.14E+08
10,181789.9031,1052717.818,1.14E+08,1.14E+08
11,197417.0397,1069049.735,1.13E+08,1.13E+08
12,204641.4072,1076320.422,1.14E+08,1.14E+08
13,147569.5403,1019158.532,1.15E+08,1.15E+08
14,150596.9283,1021763.742,1.15E+08,1.15E+08
15,184812.6033,1055746.435,1.15E+08,1.15E+08
16,147412.2797,1018524.514,1.15E+08,1.15E+08
17,148089.2633,1018203.021,1.15E+08,1.15E+08
18,159289.8744,1029770.483,1.16E+08,1.16E+08
19,148544.8989,1018713.539,1.16E+08,1.16E+08
20,165718.3494,1035726.491,1.16E+08,1.16E+08
21,189099.0972,1059159.676,1.15E+08,1.15E+08
22,294914.1036,1165399.688,1.12E+08,1.12E+08
23,294594.9511,1165312.998,1.12E+08,1.12E+08
24,132052.8644,1003046.799,1.17E+08,1.17E+08
25,151028.3308,1020762.229,1.16E+08,1.16E+08
26,153617.8039,1023591.046,1.16E+08,1.16E+08
27,248599.8467,1118148.011,1.13E+08,1.13E+08
28,252995.9158,1123291.084,1.14E+08,1.14E+08
29,1608284.233,2465206.258,5.86E+07,5.86E+07
30,370738.9933,1245429.154,1.09E+08,1.09E+08
31,326896.8369,1197624.628,1.11E+08,1.11E+08
32,173304.3239,1044663.173,1.16E+08,1.16E+08
33,182711.6736,1053443.144,1.16E+08,1.16E+08
34,204550.24,1075755.468,1.15E+08,1.15E+08
35,241566.8275,1112434.246,1.13E+08,1.13E+08
36,254471.4333,1125321.426,1.14E+08,1.14E+08
37,170538.45,1042093.018,1.16E+08,1.16E+08
38,162083.6022,1032983.852,1.17E+08,1.17E+08
39,162895.1914,1033673.162,1.17E+08,1.17E+08
40,393007.6128,1263525.46,1.09E+08,1.09E+08
41,216723.0731,1088357.915,1.15E+08,1.15E+08
42,132457.0714,1003363.398,1.18E+08,1.18E+08
43,180928.1531,1051188.717,1.17E+08,1.17E+08
44,150613.7128,1020656.906,1.18E+08,1.18E+08
45,243020.7739,1113423.417,1.15E+08,1.15E+08
46,274658.835,1145206.78,1.14E+08,1.14E+08
47,203741.9656,1074994.556,1.16E+08,1.16E+08
48,226264.3122,1097132.726,1.15E+08,1.15E+08
49,159990.4192,1030425.322,1.18E+08,1.18E+08
50,174934.0411,1045117.189,1.17E+08,1.17E+08
51,169809.0439,1039781.531,1.18E+08,1.18E+08
52,152168.0961,1022130.793,1.18E+08,1.18E+08
53,1564017.675,2420345.833,6.18E+07,6.18E+07
54,515078.5408,1389943.39,1.05E+08,1.05E+08
55,344905.5786,1216695.631,1.13E+08,1.13E+08
56,177917.4858,1049478.475,1.17E+08,1.17E+08
57,138384.9683,1009332.625,1.18E+08,1.18E+08
58,244578.4906,1114861.103,1.15E+08,1.15E+08
59,214622.4731,1085129.3,1.17E+08,1.17E+08
60,165981.0733,1037011.936,1.18E+08,1.18E+08
61,169743.0811,1039779.169,1.18E+08,1.18E+08
62,258650.8189,1128668.78,1.16E+08,1.16E+08
63,204924.8122,1075102.848,1.17E+08,1.17E+08
64,1745962.586,2602882.076,5.50E+07,5.50E+07
65,268727.5353,1142249.319,1.14E+08,1.14E+08
66,247231.9208,1118296.694,1.16E+08,1.16E+08
67,188898.9228,1059748.314,1.18E+08,1.18E+08
68,152166.2208,1023180.484,1.19E+08,1.19E+08
69,179024.4606,1049443.873,1.18E+08,1.18E+08
70,212739.7825,1083023.124,1.18E+08,1.18E+08
71,177349.4028,1048275.77,1.18E+08,1.18E+08
72,172542.5942,1042621.993,1.19E+08,1.19E+08
73,188158.5883,1058575.986,1.18E+08,1.18E+08
74,299106.6008,1169684.466,1.15E+08,1.15E+08
75,287168.7042,1158685.147,1.15E+08,1.15E+08
76,215613.4878,1086425.921,1.17E+08,1.17E+08
77,279118.6589,1150036.563,1.15E+08,1.15E+08
78,218439.3906,1089684.89,1.18E+08,1.18E+08
79,216782.2425,1087347.559,1.18E+08,1.18E+08
80,1530052.414,2386800.732,6.36E+07,6.36E+07
81,420412.3317,1294930.397,1.11E+08,1.11E+08
82,378459.8914,1250005.569,1.14E+08,1.14E+08
83,169158.5517,1040725.594,1.19E+08,1.19E+08
84,251500.5286,1122470.845,1.17E+08,1.17E+08
85,299765.2886,1171438.673,1.16E+08,1.16E+08
86,324512.1433,1195931.905,1.15E+08,1.15E+08
