Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73357.42028,946485.5411,1.17E+08,1.17E+08
1,155687.2953,1026940.971,1.14E+08,1.14E+08
2,183993.49,1055564.616,1.13E+08,1.13E+08
3,218042.1706,1090038.308,1.12E+08,1.12E+08
4,185072.8347,1057208.371,1.13E+08,1.13E+08
5,164835.4008,1036749.157,1.14E+08,1.14E+08
6,196845.5694,1068933.159,1.13E+08,1.13E+08
7,188570.5089,1060710.796,1.13E+08,1.13E+08
8,168896.955,1040599.758,1.14E+08,1.14E+08
9,224492.6908,1096130.165,1.13E+08,1.13E+08
10,154011.1789,1025938.816,1.15E+08,1.15E+08
11,157276.4264,1028900.796,1.15E+08,1.15E+08
12,1653694.604,2508375.146,6.48E+07,6.48E+07
13,448996.4539,1324372.017,1.06E+08,1.06E+08
14,249057.8267,1121593.499,1.12E+08,1.12E+08
15,192009.8308,1064050.294,1.14E+08,1.14E+08
16,193113.8986,1064898.115,1.14E+08,1.14E+08
17,243439.3214,1115470.504,1.13E+08,1.13E+08
18,193129.6831,1064984.643,1.13E+08,1.13E+08
19,238741.3081,1110349.265,1.13E+08,1.13E+08
20,202720.9222,1074568.427,1.14E+08,1.14E+08
21,152721.0097,1024389.408,1.15E+08,1.15E+08
22,148816.5192,1020202.858,1.15E+08,1.15E+08
23,140151.7128,1010979.343,1.16E+08,1.16E+08
24,141113.7606,1011774.694,1.15E+08,1.15E+08
25,158516.4631,1028926.481,1.16E+08,1.16E+08
26,340410.9892,1210924.797,1.10E+08,1.10E+08
27,209094.0739,1080417.797,1.15E+08,1.15E+08
28,237330.3597,1107949.153,1.13E+08,1.13E+08
29,467793.7942,1338926.926,1.02E+08,1.02E+08
30,1705194.344,2561186.098,5.35E+07,5.35E+07
31,523331.8703,1399315.9,1.04E+08,1.04E+08
32,339826.9606,1212651.025,1.11E+08,1.11E+08
33,174350.9828,1046707.166,1.15E+08,1.15E+08
34,191746.7569,1063279.431,1.15E+08,1.15E+08
35,142790.2575,1014599.785,1.16E+08,1.16E+08
36,139072.2042,1010232.35,1.16E+08,1.16E+08
37,227632.9306,1098238.514,1.14E+08,1.14E+08
38,179305.6767,1050248.745,1.16E+08,1.16E+08
39,275351.6544,1146434.779,1.13E+08,1.13E+08
40,291475.5658,1162831.55,1.12E+08,1.12E+08
41,1818126.344,2670326.142,4.79E+07,4.79E+07
42,456079.2289,1331664.507,1.06E+08,1.06E+08
