Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,474662.2867,1383873.99,8.88E+07,8.88E+07
1,259700.9978,1164099.746,9.65E+07,9.65E+07
2,199055.2419,1101745.618,9.84E+07,9.84E+07
3,220332.4467,1120821.144,9.87E+07,9.87E+07
4,342615.7883,1242514.77,9.48E+07,9.48E+07
5,213711.9922,1112950.391,9.89E+07,9.89E+07
6,1242779.548,2134364.175,5.80E+07,5.80E+07
7,609325.9639,1511604.574,8.38E+07,8.38E+07
8,259329.9556,1159140.833,9.72E+07,9.72E+07
9,185462.0169,1083010.744,1.00E+08,1.00E+08
10,263832.8394,1159913.509,9.80E+07,9.80E+07
11,214305.8231,1109386.083,1.00E+08,1.00E+08
12,221905.1461,1115681.093,1.00E+08,1.00E+08
13,226534.1969,1119669.809,1.00E+08,1.00E+08
14,242873.6267,1135620.069,9.94E+07,9.94E+07
15,197245.9081,1089380.728,1.01E+08,1.01E+08
16,193690.8469,1084706.864,1.02E+08,1.02E+08
17,210835.4383,1100850.451,1.01E+08,1.01E+08
18,157830.8189,1047529.89,1.03E+08,1.03E+08
19,209063.0417,1097615.855,1.01E+08,1.01E+08
20,247566.8442,1135990.457,1.01E+08,1.01E+08
21,272276.6842,1161015.434,9.87E+07,9.87E+07
22,301860.6969,1190209.776,9.92E+07,9.92E+07
23,1889875.866,2764474.123,3.57E+07,3.57E+07
24,378717.8178,1273629.55,9.44E+07,9.44E+07
25,260657.3003,1150393.271,1.00E+08,1.00E+08
26,261145.5853,1150092.237,1.00E+08,1.00E+08
27,333097.3603,1222402.679,9.74E+07,9.74E+07
28,347532.4936,1236135.225,9.76E+07,9.76E+07
29,245797.5758,1134772.939,1.00E+08,1.00E+08
30,165951.7719,1054313.316,1.03E+08,1.03E+08
31,167428.5481,1054261.002,1.03E+08,1.03E+08
32,208452.9886,1094324.317,1.02E+08,1.02E+08
33,199812.2531,1085220.664,1.03E+08,1.03E+08
34,1481085.388,2357168.664,5.03E+07,5.03E+07
35,411500.1844,1302554.333,9.43E+07,9.43E+07
36,1552660.563,2430312.976,4.73E+07,4.73E+07
37,382263.9517,1275473.986,9.50E+07,9.50E+07
38,1348723.595,2234389.793,5.58E+07,5.58E+07
39,393870.6481,1288080.518,9.36E+07,9.36E+07
40,313119.4064,1203373.845,9.92E+07,9.92E+07
41,220471.5158,1109939.688,1.03E+08,1.03E+08
42,193727.3333,1082110.022,1.03E+08,1.03E+08
43,250435.4164,1138102.286,1.02E+08,1.02E+08
