Incident ID,Class,Affected Volume,Total Excess Travel time,Date ,Time,Location,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction (w/ TWA),Lanes closed  (TWA),RCT,RCT [min],ICT for IMT,ICT for IMT [min],Responding IMTs,Inflated time,MATSim Link,Start Time (sec),End Time (sec),,,,,
1,1,1545,45.33,3/4/2018,11:41:15 AM,500 S I15 SB,40.74,-111.9,5,3,0.38,1.89,12:42:45 AM,42.8,1:12:53 AM,72.9,1,89.8,30673,42075,47463,,,,,
2,1,8933,14.64,3/6/2018,9:02:50 AM,3800 S I215E SB,40.69,-111.95,3,2,0.49,1.48,12:56:10 AM,56.2,1:19:06 AM,79.1,1,97.5,24448,32570,38420,,,,,
3,1,4092,46.95,3/7/2018,7:31:06 AM,7762 E I80 EB,40.75,-111.72,3,1,0.33,1,12:26:54 AM,26.9,12:30:46 AM,30.8,1,37.9,30652,27066,29340,,,,,
4,1,6982,52.16,3/7/2018,9:14:42 AM,281930 I15 NB; MM 282 I15 NB,40.4,-111.85,5,1,0.2,1,12:16:18 AM,16.3,12:55:35 AM,55.6,1,68.5,33522,33282,37392,,,,,
5,1,6035,175.65,3/8/2018,4:27:17 PM,900 S I15 SB,40.75,-111.91,5,2,0.4,2,12:23:43 AM,23.7,12:18:53 AM,18.9,2,23.3,33607,59237,60635,,,,,
6,1,27602,155.73,3/13/2018,2:32:03 PM,3300 S I15 SB,40.7,-111.9,4,1,0.25,1,12:14:57 AM,15,12:42:45 AM,42.8,1,52.7,24897,52323,55485,,,,,
7,1,4605,14.69,3/15/2018,12:18:41 PM,7682 E I80 WB,40.74,-111.73,3,2,0.35,1.06,1:04:19 AM,64.3,1:04:31 AM,64.5,2,79.5,24924,44321,49091,,,,,
8,1,5532,104.46,3/16/2018,11:34:20 AM,5400 S I15 NB,40.64,-111.9,5,2,0.22,1.11,12:12:40 AM,12.7,12:58:07 AM,58.1,2,71.6,24970,41660,45956,,,,,
9,1,10792,75.22,3/21/2018,9:08:23 AM,274983 I15 NB; MM 275 I15 NB,40.35,-111.76,6,1,0.17,1,12:34:37 AM,34.6,2:10:56 AM,130.9,1,161.3,24953,32903,42581,,,,,
10,1,15160,198.83,3/26/2018,9:27:01 AM,11400 S I15 SB,40.56,-111.9,6,1,0.17,1,1:02:59 AM,63,1:35:01 AM,95,2,117.1,2841,34021,41047,,,,,
11,1,10240,166.39,3/29/2018,8:32:33 AM,278101 I15 NB; MM 278 I15 NB,40.38,-111.83,5,1,0.2,1,12:07:27 AM,7.5,1:08:16 AM,68.3,2,84.1,31635,30753,35799,,,,,
12,1,2696,146.6,5/1/2018,6:50:18 AM,269012 I15 SB,40.27,-111.72,5,1,0.2,1,12:49:42 AM,49.7,12:31:09 AM,31.1,1,38.4,30761,24618,26922,,,,,
13,1,2382,32.11,5/2/2018,3:55:00 PM,2200 S I15 NB,40.72,-111.9,4,2,0.5,2,12:09:00 AM,9,1:07:17 AM,67.3,2,82.9,24986,57300,62274,,,,,
14,1,4604,82.77,5/3/2018,9:13:30 AM,5800 S I15 SB,40.64,-111.9,6,2,0.28,1.67,12:06:30 AM,6.5,12:55:03 AM,55,1,67.8,24342,33210,37278,,,,,
15,1,7086,6.81,5/4/2018,7:27:56 AM,1350 S I215W NB,40.75,-111.95,5,1,0.2,1,12:32:04 AM,32.1,1:08:34 AM,68.6,1,84.5,30667,26876,31946,,,,,
16,1,7945,37.55,5/4/2018,2:20:42 PM,400 E I80  WB,40.72,-111.89,5,2,0.2,1.02,1:14:18 AM,74.3,12:16:25 AM,16.4,1,20.2,24859,51642,52854,,,,,
17,1,741,7.59,5/8/2018,12:13:59 PM,7762 E I80 EB,40.75,-111.71,3,2,0.67,2,12:17:01 AM,17,1:36:04 AM,96.1,2,118.4,30679,44039,51143,,,,,
18,1,4291,111.04,5/15/2018,4:15:17 PM,2500 S I15 SB,40.71,-111.9,4,2,0.5,2,12:04:43 AM,4.7,12:32:13 AM,32.2,1,39.7,4554,58517,60899,,,,,
19,1,3187,27.52,5/21/2018,1:54:11 PM,1100 S I15 SB,40.74,-111.9,5,1,0.2,1,12:12:49 AM,12.8,12:34:42 AM,34.7,1,42.8,45967,50051,52619,,,,,
