Incident ID,Class,Affected Volume,Total Excess Travel time,Number,Date ,Incidents Per Day,Time,Location,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction (w/ TWA),Lanes closed  (Time weighted Average),Roadway Clearance Time,Roadway Clearance Time [min],ICT for IMT,ICT for IMT [min],Responding IMTs,Inflated time,MATSim Link,Start Time (sec),End Time (sec),Person ID,Request ID,,,,,,,,,,,,,,
1,1,1545,45.33,8,3/4/2018,1,11:41:15 AM,500 S I15 SB                                                ,40.74,-111.9,5,3,0.38,1.89,12:42:45 AM,42.8,1:12:53 AM,72.9,1,89.8,30673,42075,44640,50000,80000,,,Severity Code,Hours of Excess Travel Time,Frequency,,,,,,,,,
2,1,8933,14.64,10,3/6/2018,,9:02:50 AM,3800 S I215E SB                                             ,40.69,-111.95,3,2,0.49,1.48,12:56:10 AM,56.2,1:19:06 AM,79.1,1,97.5,24448,32570,35940,50001,80001,,,1,0-200,66,,,,,,,,,
3,1,4092,46.95,12,3/7/2018,,7:31:06 AM,7762 E I80 EB                                               ,40.75,-111.72,3,1,0.33,1,12:26:54 AM,26.9,12:30:46 AM,30.8,1,37.9,30652,27066,28680,50002,80002,,,2,200-400,35,,,,,,,,,
4,1,6982,52.16,14,3/7/2018,,9:14:42 AM,281930 I15 NB; MM 282 I15 NB                                ,40.4,-111.85,5,1,0.2,1,12:16:18 AM,16.3,12:55:35 AM,55.6,1,68.5,33522,33282,34260,50003,80003,,,3,400-800,37,,,,,,,,,
5,1,6035,175.65,17,3/8/2018,1,4:27:17 PM,900 S I15 SB                                                ,40.75,-111.91,5,2,0.4,2,12:23:43 AM,23.7,12:18:53 AM,18.9,2,23.3,33607,59237,60660,50004,80004,,,4,800-2000,32,,,,,,,,,
6,1,27602,155.73,26,3/13/2018,,2:32:03 PM,3300 S I15 SB                                               ,40.7,-111.9,4,1,0.25,1,12:14:57 AM,15,12:42:45 AM,42.8,1,52.7,24897,52323,53220,50005,80005,,,5,2000+,19,,,,,,,,,
7,1,4605,14.69,33,3/15/2018,,12:18:41 PM,7682 E I80 WB                                               ,40.74,-111.73,3,2,0.35,1.06,1:04:19 AM,64.3,1:04:31 AM,64.5,2,79.5,24924,44321,48180,50006,80006,,,Total # Of Incidents Analyzed,,189,,,,,,,,,
8,1,5532,104.46,40,3/16/2018,,11:34:20 AM,5400 S I15 NB                                               ,40.64,-111.9,5,2,0.22,1.11,12:12:40 AM,12.7,12:58:07 AM,58.1,2,71.6,24970,41660,42420,50007,80007,,,,,,,,,,,,,,
9,1,10792,75.22,47,3/21/2018,,9:08:23 AM,274983 I15 NB; MM 275 I15 NB                                ,40.35,-111.76,6,1,0.17,1,12:34:37 AM,34.6,2:10:56 AM,130.9,1,161.3,24953,32903,34980,50008,80008,,,Total Incidents From CAD + TS Data Combiner,,1071,,,,,,,,,
10,1,15160,198.83,52,3/26/2018,,9:27:01 AM,11400 S I15 SB                                              ,40.56,-111.9,6,1,0.17,1,1:02:59 AM,63,1:35:01 AM,95,2,117.1,2841,34021,37800,50009,80009,,,,,,,,,,,,,,
