Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73244.24,946372.7039,1.17E+08,1.17E+08
1,106612.1969,977928.1081,1.15E+08,1.15E+08
2,160753.7381,1032147.309,1.14E+08,1.14E+08
3,194067.1919,1065697.82,1.13E+08,1.13E+08
4,144555.8097,1016287.296,1.14E+08,1.14E+08
5,168058.2192,1039462.409,1.14E+08,1.14E+08
6,133372.4961,1005172.308,1.15E+08,1.15E+08
7,194514.6864,1065893.681,1.13E+08,1.13E+08
8,1551363.004,2411533.988,6.89E+07,6.89E+07
9,497422.7775,1373116.826,1.04E+08,1.04E+08
10,1462083.081,2324905.449,7.19E+07,7.19E+07
11,296924.7997,1172786.641,1.08E+08,1.08E+08
12,351301.3078,1224717.939,1.09E+08,1.09E+08
13,183562.3653,1056982.468,1.13E+08,1.13E+08
14,413042.4647,1286280.901,1.04E+08,1.04E+08
15,180792.5906,1054763.219,1.13E+08,1.13E+08
16,185815.5594,1058392.313,1.13E+08,1.13E+08
17,170760.2969,1042835.516,1.14E+08,1.14E+08
18,166233.8483,1038547.629,1.14E+08,1.14E+08
19,156013.2964,1028230.298,1.14E+08,1.14E+08
20,212288.005,1084085.075,1.13E+08,1.13E+08
21,170017.3747,1041820.168,1.15E+08,1.15E+08
22,164801.9053,1036575.382,1.15E+08,1.15E+08
23,156242.9033,1027579.268,1.15E+08,1.15E+08
24,185011.7094,1056191.633,1.15E+08,1.15E+08
25,217555.6231,1088851.936,1.13E+08,1.13E+08
26,1555168.21,2410524.79,5.70E+07,5.70E+07
27,455240.8994,1330740.211,1.00E+08,1.00E+08
28,286015.8389,1159416.653,1.11E+08,1.11E+08
29,254728.5492,1127223.436,1.13E+08,1.13E+08
30,209713.9386,1081940.047,1.13E+08,1.13E+08
31,224906.8419,1097205.727,1.13E+08,1.13E+08
32,213543.6367,1085475.168,1.14E+08,1.14E+08
33,253297.7592,1125422.878,1.13E+08,1.13E+08
34,297163.1656,1169229.112,1.12E+08,1.12E+08
35,458307.5711,1331289.506,1.06E+08,1.06E+08
36,216883.7989,1090174,1.14E+08,1.14E+08
37,168957.6217,1041294.743,1.15E+08,1.15E+08
38,155985.4472,1027827.674,1.16E+08,1.16E+08
39,164980.3258,1036606.41,1.16E+08,1.16E+08
40,215274.3675,1086709.728,1.14E+08,1.14E+08
41,360690.8233,1232872.123,1.06E+08,1.06E+08
42,205040.2525,1077558.752,1.15E+08,1.15E+08
43,245454.3142,1117357.537,1.11E+08,1.11E+08
44,192775.3892,1064867.955,1.15E+08,1.15E+08
45,164734.6575,1036257.628,1.16E+08,1.16E+08
46,230860.0925,1101940.561,1.14E+08,1.14E+08
47,185492.2889,1057143.984,1.16E+08,1.16E+08
48,1362604.208,2222092.601,6.77E+07,6.77E+07
49,508497.4242,1383870.591,1.05E+08,1.05E+08
50,339993.4456,1212484.145,1.12E+08,1.12E+08
51,216875.0133,1089106.133,1.16E+08,1.16E+08
52,184410.0731,1056664.184,1.16E+08,1.16E+08
53,184421.9053,1056213.529,1.16E+08,1.16E+08
54,141981.3225,1013574.02,1.17E+08,1.17E+08
55,122036.6933,993017.7953,1.18E+08,1.18E+08
56,133047.9031,1003566.221,1.18E+08,1.18E+08
57,138342.6961,1008722.424,1.18E+08,1.18E+08
58,184250.0331,1054301.308,1.17E+08,1.17E+08
59,174205.3522,1044711.299,1.17E+08,1.17E+08
60,144684.1408,1015353.995,1.18E+08,1.18E+08
61,212241.875,1082178.362,1.16E+08,1.16E+08
62,1572910.646,2430324.021,6.02E+07,6.02E+07
63,404677.7367,1278904.331,1.08E+08,1.08E+08
64,319792.07,1191166.868,1.14E+08,1.14E+08
65,241830.5428,1113655.537,1.14E+08,1.14E+08
66,185781.5728,1057147.874,1.17E+08,1.17E+08
67,161932.6447,1032510.377,1.18E+08,1.18E+08
68,151114.3567,1021440.062,1.18E+08,1.18E+08
69,203049.5658,1073301.033,1.17E+08,1.17E+08
70,653750.3814,1524792.873,1.03E+08,1.03E+08
71,320062.6994,1192445.555,1.14E+08,1.14E+08
72,253704.8767,1125168.409,1.15E+08,1.15E+08
73,195109.7756,1066226.297,1.17E+08,1.17E+08
74,137808.4589,1008153.076,1.19E+08,1.19E+08
75,155821.4258,1025961.851,1.19E+08,1.19E+08
76,180436.4431,1050179.111,1.18E+08,1.18E+08
77,144737.5983,1014876.679,1.19E+08,1.19E+08
78,150511.6269,1019968.706,1.19E+08,1.19E+08
79,163025.4972,1032861.837,1.19E+08,1.19E+08
80,135156.5647,1004662.568,1.20E+08,1.20E+08
81,1536915.113,2393476.972,6.48E+07,6.48E+07
82,314947.8097,1189899.478,1.12E+08,1.12E+08
83,334243.9075,1205410.829,1.14E+08,1.14E+08
84,257672.3644,1128758.016,1.16E+08,1.16E+08
85,261225.9994,1132479.32,1.17E+08,1.17E+08
86,163474.6733,1034617.001,1.19E+08,1.19E+08
87,145320.9297,1016222.626,1.19E+08,1.19E+08
