Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,1322230.79,2165337.081,7.32E+07,7.32E+07
1,204376.0111,1079687.504,1.11E+08,1.11E+08
2,197551.1294,1070438.39,1.12E+08,1.12E+08
3,206529.3036,1079583.966,1.12E+08,1.12E+08
4,154647.1731,1027895.888,1.13E+08,1.13E+08
5,179513.82,1052156.416,1.13E+08,1.13E+08
6,149729.1161,1022735.723,1.13E+08,1.13E+08
7,225682.8186,1098065.921,1.12E+08,1.12E+08
8,167116.6703,1040099.874,1.14E+08,1.14E+08
9,169059.9739,1041351.694,1.14E+08,1.14E+08
10,162873.4939,1035082.238,1.14E+08,1.14E+08
11,122977.2842,995037.7056,1.15E+08,1.15E+08
12,159388.8717,1030662.809,1.15E+08,1.15E+08
13,202819.8511,1074031.083,1.13E+08,1.13E+08
14,174978.5792,1046571.152,1.14E+08,1.14E+08
15,234969.6614,1106372.255,1.12E+08,1.12E+08
16,240050.5036,1111507.358,1.13E+08,1.13E+08
17,197023.8306,1068946.563,1.14E+08,1.14E+08
18,223075.8808,1094818.755,1.13E+08,1.13E+08
19,189450.0325,1061269.613,1.14E+08,1.14E+08
20,211277.2431,1083215.878,1.14E+08,1.14E+08
21,192440.3136,1064424.074,1.14E+08,1.14E+08
22,153334.2983,1024691.029,1.15E+08,1.15E+08
23,175456.2583,1046307.994,1.15E+08,1.15E+08
24,154696.4969,1025470.454,1.15E+08,1.15E+08
25,219402.4886,1090015.464,1.14E+08,1.14E+08
26,191082.6753,1062106.88,1.14E+08,1.14E+08
27,257267.4769,1128155.953,1.13E+08,1.13E+08
28,234659.4908,1105806.146,1.13E+08,1.13E+08
29,258587.4133,1129823.005,1.12E+08,1.12E+08
30,243091.4175,1114328.03,1.13E+08,1.13E+08
31,211024.8636,1082700.331,1.14E+08,1.14E+08
32,314054.0325,1185395.536,1.11E+08,1.11E+08
33,239554.2125,1112035.067,1.14E+08,1.14E+08
34,258529.6942,1130155.085,1.13E+08,1.13E+08
35,231837.7742,1104106.911,1.14E+08,1.14E+08
36,232990.3089,1104619.769,1.14E+08,1.14E+08
37,511990.9356,1384096.851,1.01E+08,1.01E+08
38,215284.6969,1088864.1,1.15E+08,1.15E+08
39,223532.0553,1095715.328,1.14E+08,1.14E+08
40,156302.0647,1028223.04,1.16E+08,1.16E+08
41,228885.3722,1099896.072,1.15E+08,1.15E+08
42,1247810.605,2117508.477,7.74E+07,7.74E+07
43,494421.4394,1369529.222,1.05E+08,1.05E+08
44,305973.3281,1178428.33,1.13E+08,1.13E+08
45,174780.7636,1046954.024,1.16E+08,1.16E+08
46,131820.6758,1003518.619,1.18E+08,1.18E+08
47,198781.7031,1070007.403,1.16E+08,1.16E+08
48,192850.0697,1064000.004,1.16E+08,1.16E+08
49,190259.0608,1062089.718,1.16E+08,1.16E+08
50,389828.7403,1260835.869,1.06E+08,1.06E+08
51,213288.3656,1085566.29,1.15E+08,1.15E+08
52,233781.1469,1104940.909,1.14E+08,1.14E+08
53,145789.9061,1017213.9,1.18E+08,1.18E+08
54,165396.9464,1035679.949,1.17E+08,1.17E+08
55,209012.2417,1079549.043,1.16E+08,1.16E+08
56,229982.3258,1100735.056,1.15E+08,1.15E+08
57,254091.5867,1125622.721,1.15E+08,1.15E+08
58,274923.4536,1146024.12,1.15E+08,1.15E+08
59,241162.0819,1112427.612,1.16E+08,1.16E+08
60,224027.2653,1095102.294,1.17E+08,1.17E+08
61,200397.2697,1071556.867,1.17E+08,1.17E+08
62,188897.5589,1060340.846,1.18E+08,1.18E+08
63,154127.0431,1025150.511,1.19E+08,1.19E+08
64,154484.6639,1025008.786,1.19E+08,1.19E+08
65,243009.3936,1113171.162,1.16E+08,1.16E+08
66,169003.7239,1040038.437,1.18E+08,1.18E+08
67,193111.1472,1063539.115,1.17E+08,1.17E+08
68,229255.4267,1099839.476,1.17E+08,1.17E+08
69,303268.9406,1174179.153,1.15E+08,1.15E+08
70,227303.2292,1098317.987,1.17E+08,1.17E+08
71,184741.0461,1055841.144,1.18E+08,1.18E+08
72,167211.0539,1037836.889,1.19E+08,1.19E+08
73,246941.4719,1117491.778,1.16E+08,1.16E+08
74,204691.0622,1075735.482,1.18E+08,1.18E+08
75,220823.4453,1091900.137,1.17E+08,1.17E+08
76,1191699.731,2062647.222,8.42E+07,8.42E+07
77,373446.1442,1247665.983,1.12E+08,1.12E+08
78,267727.6514,1139437.152,1.16E+08,1.16E+08
79,201352.0889,1073109.503,1.18E+08,1.18E+08
80,214802.6725,1086142.054,1.18E+08,1.18E+08
81,215509.1844,1087057.397,1.18E+08,1.18E+08
82,196605.0819,1068171.708,1.19E+08,1.19E+08
83,207681.7139,1079135.971,1.19E+08,1.19E+08
84,189096.3189,1060398.159,1.19E+08,1.19E+08
85,198305.1436,1069150.874,1.19E+08,1.19E+08
