Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73265.79167,946396.6017,1.17E+08,1.17E+08
1,156230.8442,1027520.307,1.14E+08,1.14E+08
2,1554020.936,2413428.091,6.88E+07,6.88E+07
3,356630.1844,1232921.173,1.06E+08,1.06E+08
4,266762.9253,1139677.994,1.11E+08,1.11E+08
5,162463.3078,1035390.436,1.13E+08,1.13E+08
6,164934.9644,1037664.314,1.13E+08,1.13E+08
7,138485.7558,1011131.108,1.14E+08,1.14E+08
8,144283.8769,1016345.211,1.14E+08,1.14E+08
9,189486.0614,1061526.594,1.14E+08,1.14E+08
10,1613971.106,2473406.604,5.72E+07,5.72E+07
11,545506.9311,1422592.813,1.01E+08,1.01E+08
12,383144.9575,1256962.282,1.07E+08,1.07E+08
13,193655.4575,1067480.646,1.13E+08,1.13E+08
14,147416.1514,1020675.906,1.14E+08,1.14E+08
15,1604049.768,2464073.183,5.50E+07,5.50E+07
16,552766.2572,1430937.675,9.89E+07,9.89E+07
17,507709.645,1382520.227,1.04E+08,1.04E+08
18,200726.8781,1076050.886,1.13E+08,1.13E+08
19,170302.54,1044818.385,1.13E+08,1.13E+08
20,258775.5228,1132561.035,1.11E+08,1.11E+08
21,173370.6519,1048052.691,1.14E+08,1.14E+08
22,291264.4719,1164879.898,1.10E+08,1.10E+08
23,253842.2989,1127937.963,1.12E+08,1.12E+08
24,249909.2158,1123934.977,1.12E+08,1.12E+08
25,263439.4311,1137542.629,1.12E+08,1.12E+08
26,165997.0039,1039994.159,1.14E+08,1.14E+08
27,238841.4128,1112119.492,1.13E+08,1.13E+08
28,233350.2175,1106832.365,1.13E+08,1.13E+08
29,196077.3667,1069587.953,1.15E+08,1.15E+08
30,205584.4547,1078909.723,1.14E+08,1.14E+08
31,123431.8356,996591.0081,1.17E+08,1.17E+08
32,141619.5375,1013930.712,1.16E+08,1.16E+08
33,202146.4794,1074136.369,1.15E+08,1.15E+08
34,204574.7742,1076862.326,1.15E+08,1.15E+08
35,1736162.126,2588342.886,4.84E+07,4.84E+07
36,828828.7469,1706252.159,8.78E+07,8.78E+07
37,1772804.068,2632917.108,4.93E+07,4.93E+07
