ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	64.34352527772072	56.42623994601848	59.98413959913201	64.34407021502665
1	63.28955641678417	56.28007188768194	59.93932408830817	64.16539761194434
2	62.96375652946943	56.49250275449681	60.02743405723595	64.01799723440817
3	63.27255864504428	56.78974849614077	60.19320372538006	64.1180939136906
4	62.5780712904861	56.81051990426498	60.198147333835216	63.96862459610995
5	63.395913502524415	57.076669397594074	60.389761007682004	64.2352062875428
6	62.69293611856573	57.062652901581394	60.38658866504302	64.06321233627556
7	62.79776269043153	57.04141365952066	60.43418863410305	64.12237772471626
8	63.10436200354248	57.27529405165234	60.53457064397662	64.1486148445611
9	63.52587315725464	57.56602088993299	60.70043960616325	64.3272657988134
10	62.83486330413867	57.36468420870866	60.68808847695828	64.37424656837618
11	62.50136915813258	57.125404314622656	60.62481784227107	64.27626831131364
12	61.817349175443596	56.47231503662679	60.46104956222724	64.23480951087785
13	63.139780553751585	56.7187707708568	60.5878842739534	64.4682539332592
14	63.37340748428305	56.96073283506466	60.70084045859044	64.55576573419067
15	62.40454430373892	56.73570419279997	60.60683188457417	64.36298123089328
16	62.51005349101639	56.64651881001583	60.57863810107527	64.3283261929483
17	63.353697604522885	56.922907052924074	60.72439642351694	64.64711404472425
18	25.232759126641536	22.494725122667823	53.42869139978372	63.49601319538827
19	57.92240307840893	27.87097364577848	54.01154054195269	63.58677298755254
20	62.131740151316166	33.03760522342308	55.14110394088889	63.99601528402378
21	62.45148149850283	37.46334541119802	56.06436062330907	64.03544070457293
22	63.437206116824974	41.13827189818233	56.99667723037745	64.442056977404
23	63.01540348916832	43.84831658328107	57.64137507305351	64.52145678688902
24	63.14077729567812	46.278258542871	58.1905345125797	64.47782088434599
25	62.82536859548353	48.211720299650445	58.598978567775426	64.44534005800217
26	63.40702440050294	49.930951837996176	59.04931947215655	64.6449245311529
27	63.898331234323074	51.47117905591664	59.491078478498935	64.79558252564989
28	64.3454095447434	52.79408958083537	59.936438693257365	65.0909997919081
29	64.03593654839489	53.842750317676014	60.223809524005546	65.04860975651546
30	25.70986332812641	22.30749931744487	53.075391536648354	63.806444706952284
31	58.73785650901712	27.740306039791307	53.76633394653187	63.81996716378632
32	60.83748005366299	32.24989835885536	54.60691290826637	63.911824158377335
33	62.584922102772566	36.49325127760209	55.59563945778381	64.13294741914532
34	61.49867269672118	39.67803690288285	56.17595986626059	64.02244583400055
35	62.21872789727531	42.356870998752115	56.798153637963125	64.21240038831687
36	61.60741473079718	44.21762677120444	57.16742299968492	64.26656947469402
37	62.70779662795457	46.34446263481713	57.66586194240695	64.27274360602038
38	63.74966881931435	48.201385450128015	58.27796191327263	64.81283159730508
39	64.17272742109593	49.872303621684615	58.81460275676846	64.99738829843666
40	64.4774099689786	51.2935234840905	59.31784165415146	65.26292891177077
41	64.39028277836532	52.444910695855974	59.70576793217748	65.3158507756326
42	63.97473008633079	53.41147306670849	59.96320413155753	65.1573915688889
43	64.47717923254555	54.25135057295778	60.30651184489115	65.4037203193777
44	63.572276067875244	54.78762673140992	60.40352286973113	65.1172127123477
45	63.786653858022724	55.26012865906721	60.57483789363035	65.21449387775843
46	64.48377902465049	55.819705776264335	60.844004813661286	65.47101779879326
47	63.18446478830993	55.4722847009493	60.797787132456456	65.33669960290047
48	64.26604221195304	55.936312095462384	61.000110894641125	65.48796053051959
49	63.090108662196585	55.79436214529428	60.926059329582735	65.25405802093711
50	62.450331073894034	55.46460992562203	60.77752018597858	65.08279712661627
51	61.65251965453502	54.957486775919776	60.524655559707554	64.83338832688588
52	64.25985603541686	55.62227151481024	60.83896175363259	65.38567399689447
53	64.30460373170389	56.10693096605095	61.0278270706567	65.51833420032273
54	63.34966984702897	56.294291145081466	60.99689562441539	65.17688302849082
55	63.78471928493596	56.549580952267696	61.10389764307421	65.32215195388105
56	62.82912259240547	56.259510961160196	60.99480854247218	65.14464401504821
57	62.34019204033798	55.66917169871044	60.8340438678695	65.1404431773966
58	64.75663587988629	56.385807676864374	61.16999958055738	65.66716586724671
59	64.28935669843933	56.76885246869865	61.27953251425407	65.5923472663284
60	63.93289808576181	56.926948757832264	61.32621434944342	65.53427407356367
61	64.3540220739773	57.16696097446157	61.45886648273398	65.65715037335198
62	30.872535808948314	27.254813281860873	55.08785582118614	64.60388558829285
63	60.64825958457044	32.5362956743926	55.83023910283359	64.74301798981527
64	63.5838555717078	37.16153399646233	56.86951171838393	65.21965548141281
65	63.08260192684067	40.48035176306054	57.559361063881724	65.28278662438032
66	63.694202523420934	43.58223364968683	58.23830429969319	65.35209601244735
67	64.00439328549189	46.2227543862905	58.83970322359234	65.42706018726436
68	64.70280357420772	48.465361755317616	59.46468296298605	65.78096376452196
69	64.33070792471344	50.31668417877084	59.87714405239777	65.64745992208628
70	64.23417274363905	51.793014360907165	60.22471117280772	65.67597177518601
71	64.28826573194945	52.949826500703324	60.51936095347978	65.727773593698
72	64.57026072369695	54.00570638085019	60.81423673424926	65.82093050532995
73	64.38472434157839	54.630582748507166	61.019695266574956	65.90374075562252
74	65.31849599966684	55.52378704753269	61.367532691992906	66.23466981413367
75	65.18048371754752	56.24049769833293	61.597058953084336	66.27539015542924
76	64.88387219250687	56.67786565729827	61.73243667235997	66.21171378580912
77	65.51340958802658	57.23566513652686	61.98731385370697	66.43735280237308
78	65.5614378552152	57.780366936066315	62.19433371547122	66.4442528226825
79	64.72620463456967	57.77245677166744	62.22015298021572	66.39157874692594
80	64.87464504498286	58.05957453146086	62.28774034070195	66.29514299528012
81	65.06599160590669	58.357319688344354	62.39438714718497	66.34121669796468
82	64.38749218642778	58.334847421804824	62.352661407131315	66.18578270532316
83	65.17872057188042	58.654748227450725	62.49194713275464	66.32796581103682
84	65.37648136392362	58.97991964792806	62.630233744642624	66.42213444701113
85	65.3220291423421	59.21319805777853	62.730923939769795	66.42589179320584
86	66.90356250453918	59.72750915923509	63.00123709319673	66.98582758907015
87	67.01171269398615	59.72147349062492	63.00641411418244	67.04822191752767
88	67.03930183616714	59.718338503615634	63.004630097904894	67.06116855519582
89	66.99806539933311	59.7161399091161	62.99200946673233	67.01637316189779
90	67.02905868380859	59.71492326500807	62.994546571116985	67.03821719863049
91	67.04138965021153	59.71407802991482	62.99518106142931	67.04676656126085
92	67.05071593647953	59.713373266555834	62.9959709364728	67.0546631642022
93	67.0565578081353	59.712884584976706	62.99634986526157	67.05928244713114
94	67.05726776155831	59.71255931387419	62.99594692814477	67.05897933337599
95	67.05785174406915	59.712415982155036	62.99572141028768	67.0590358813767
96	67.05868813052119	59.71224961913282	62.995651860117135	67.05979644507451
97	67.05970365490074	59.712127391326014	62.99563330208106	67.06056009767298
98	67.05826575824238	59.71157121528599	62.99517443419767	67.06055802182017
99	67.06079394879814	59.71134717359338	62.99522161958711	67.06162651639968
100	67.06361614871285	59.71121715469127	62.99561954605245	67.06435604373627
