Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73249.77,946383.1731,1.17E+08,1.17E+08
1,166002.3144,1037308.092,1.14E+08,1.14E+08
2,1544722.987,2403427.207,6.94E+07,6.94E+07
3,351829.1461,1228046.863,1.07E+08,1.07E+08
4,254848.7619,1127734.883,1.11E+08,1.11E+08
5,175669.2925,1048788.166,1.13E+08,1.13E+08
6,176805.4875,1049849.944,1.13E+08,1.13E+08
7,201702.3883,1074692.325,1.12E+08,1.12E+08
8,1611622.631,2472471.02,6.67E+07,6.67E+07
9,501627.5814,1379356.643,1.02E+08,1.02E+08
10,216347.7472,1090613.222,1.12E+08,1.12E+08
11,220167.7281,1093870.059,1.12E+08,1.12E+08
12,257096.4411,1130633.791,1.10E+08,1.10E+08
13,199282.6511,1073038.164,1.13E+08,1.13E+08
14,166279.145,1039997.941,1.13E+08,1.13E+08
15,122153.0492,994878.0864,1.15E+08,1.15E+08
16,162754.8567,1034997.096,1.14E+08,1.14E+08
17,175744.9619,1048054.908,1.14E+08,1.14E+08
18,181941.2236,1054128.572,1.14E+08,1.14E+08
19,136706.4728,1009143.911,1.16E+08,1.16E+08
20,154277.2672,1026025.738,1.15E+08,1.15E+08
21,200762.4931,1072280.282,1.14E+08,1.14E+08
22,149219.5867,1021039.194,1.15E+08,1.15E+08
23,1682869.706,2535153.683,5.10E+07,5.10E+07
24,588874.7222,1465697.411,1.00E+08,1.00E+08
25,245795.7083,1119055.733,1.12E+08,1.12E+08
26,202183.5156,1074775.644,1.13E+08,1.13E+08
27,187799.6656,1059891.488,1.15E+08,1.15E+08
28,152625.5272,1025008.938,1.15E+08,1.15E+08
29,180699.6892,1052616.291,1.15E+08,1.15E+08
30,205407.3489,1077244.963,1.14E+08,1.14E+08
31,242407.2397,1114612.488,1.12E+08,1.12E+08
32,254171.7861,1126692.795,1.13E+08,1.13E+08
33,211552.5267,1084094.574,1.14E+08,1.14E+08
34,172482.7044,1044740.191,1.15E+08,1.15E+08
35,156823.2833,1028731.599,1.15E+08,1.15E+08
36,223855.7669,1095304.664,1.14E+08,1.14E+08
37,163799.5667,1035487.388,1.15E+08,1.15E+08
38,269970.055,1141270.347,1.13E+08,1.13E+08
39,198527.19,1070546.633,1.15E+08,1.15E+08
40,208658.7578,1080071.38,1.15E+08,1.15E+08
41,175203.9261,1046566.167,1.16E+08,1.16E+08
42,161947.4678,1032893.047,1.17E+08,1.17E+08
43,268553.1619,1139466.869,1.14E+08,1.14E+08
44,215215.6533,1086664.168,1.15E+08,1.15E+08
45,145155.2356,1016657.293,1.17E+08,1.17E+08
46,158198.4225,1028865.642,1.17E+08,1.17E+08
47,154354.4508,1024921.666,1.17E+08,1.17E+08
48,147387.1803,1017684.361,1.18E+08,1.18E+08
49,165762.1564,1035851.097,1.17E+08,1.17E+08
50,168465.2922,1038836.978,1.17E+08,1.17E+08
51,194934.3839,1065122.79,1.17E+08,1.17E+08
52,141442.5719,1011933.561,1.18E+08,1.18E+08
53,174537.4311,1044401.14,1.17E+08,1.17E+08
54,198311.6747,1068559.959,1.16E+08,1.16E+08
55,154454.7389,1024729.736,1.18E+08,1.18E+08
56,229910.8392,1099951.853,1.16E+08,1.16E+08
57,285148.4408,1155813.284,1.14E+08,1.14E+08
58,251715.7875,1122638.87,1.15E+08,1.15E+08
59,217300.4469,1088209.138,1.16E+08,1.16E+08
60,172866.8325,1043900.974,1.18E+08,1.18E+08
61,187352.9064,1057609.5,1.17E+08,1.17E+08
62,135999.1817,1006390.164,1.19E+08,1.19E+08
63,163357.4889,1033125.759,1.18E+08,1.18E+08
64,219107.9303,1089325.36,1.17E+08,1.17E+08
65,221537.5175,1091499.963,1.17E+08,1.17E+08
66,1717115.702,2567463.224,5.42E+07,5.42E+07
67,518008.5239,1392341.343,1.06E+08,1.06E+08
68,347452.4508,1218513.427,1.14E+08,1.14E+08
69,152424.3503,1023419.438,1.18E+08,1.18E+08
70,281936.2742,1152603.414,1.12E+08,1.12E+08
71,210648.7731,1082027.841,1.17E+08,1.17E+08
72,227393.1308,1098070.869,1.17E+08,1.17E+08
73,165983.1403,1037166.539,1.19E+08,1.19E+08
74,163032.2881,1033054.718,1.19E+08,1.19E+08
75,248903.7239,1119258.574,1.16E+08,1.16E+08
76,233055.8625,1103653.258,1.17E+08,1.17E+08
77,179632.3336,1050739.965,1.18E+08,1.18E+08
78,223605.6336,1093931.316,1.17E+08,1.17E+08
79,313667.4031,1184421.669,1.14E+08,1.14E+08
80,234172.9708,1105313.747,1.17E+08,1.17E+08
81,240207.01,1110779.621,1.17E+08,1.17E+08
82,274057.2994,1144924.106,1.15E+08,1.15E+08
83,239638.4431,1110602.008,1.17E+08,1.17E+08
84,236717.6267,1108031.412,1.17E+08,1.17E+08
85,325004.8442,1196039.991,1.15E+08,1.15E+08
86,95287.9475,966684.0858,1.22E+08,1.22E+08
87,82637.60111,953853.9214,1.23E+08,1.23E+08
88,80965.37056,952130.8492,1.23E+08,1.23E+08
89,79516.93139,950649.5406,1.23E+08,1.23E+08
90,79122.03306,950238.5469,1.23E+08,1.23E+08
91,78434.81222,949529.7069,1.23E+08,1.23E+08
92,78803.66083,949896.5533,1.23E+08,1.23E+08
93,78279.75222,949372.5678,1.23E+08,1.23E+08
94,78312.82472,949392.1614,1.23E+08,1.23E+08
95,77966.72139,949045.8397,1.23E+08,1.23E+08
96,78047.97861,949119.3817,1.23E+08,1.23E+08
97,78164.70556,949236.9614,1.23E+08,1.23E+08
98,78008.74194,949078.65,1.23E+08,1.23E+08
99,77988.1175,949051.3772,1.23E+08,1.23E+08
100,77866.41917,948932.7558,1.23E+08,1.23E+08
