Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73256.20778,946386.0653,1.17E+08,1.17E+08
1,142502.6253,1013775.21,1.14E+08,1.14E+08
2,164676.4714,1036147.323,1.14E+08,1.14E+08
3,201203.2603,1073134.37,1.13E+08,1.13E+08
4,188302.5133,1060397.144,1.13E+08,1.13E+08
5,196700.6703,1068715.331,1.13E+08,1.13E+08
6,163583,1036201.917,1.14E+08,1.14E+08
7,244351.0975,1116118.952,1.12E+08,1.12E+08
8,179958.7014,1051802.172,1.14E+08,1.14E+08
9,173781.08,1045758.869,1.14E+08,1.14E+08
10,155550.3569,1026843.516,1.15E+08,1.15E+08
11,180718.9119,1052073.065,1.14E+08,1.14E+08
12,176929.2967,1047906.225,1.14E+08,1.14E+08
13,131585.8481,1002780.321,1.15E+08,1.15E+08
14,164781.3989,1035422.165,1.15E+08,1.15E+08
15,151808.4181,1022757.761,1.15E+08,1.15E+08
16,182776.7819,1053702.739,1.14E+08,1.14E+08
17,166539.7539,1037652.238,1.15E+08,1.15E+08
18,1787271.911,2641455.079,6.23E+07,6.23E+07
19,576055.7383,1452082.615,1.03E+08,1.03E+08
20,215169.5717,1086970.226,1.13E+08,1.13E+08
21,181653.7669,1052990.923,1.14E+08,1.14E+08
22,200642.2231,1071664.046,1.13E+08,1.13E+08
23,246053.0436,1117333.286,1.12E+08,1.12E+08
24,245603.5108,1116982.796,1.13E+08,1.13E+08
25,194254.1561,1065885.272,1.15E+08,1.15E+08
26,146674.7122,1017857.943,1.16E+08,1.16E+08
27,168388.0467,1039008.656,1.15E+08,1.15E+08
28,139955.3967,1010732.638,1.16E+08,1.16E+08
29,140721.7819,1011028.174,1.17E+08,1.17E+08
30,177493.15,1047680.192,1.15E+08,1.15E+08
31,245747.4225,1116067.365,1.13E+08,1.13E+08
32,226890.8356,1097636.398,1.14E+08,1.14E+08
33,312324.8689,1183215.247,1.11E+08,1.11E+08
34,201568.285,1073234.94,1.15E+08,1.15E+08
35,265375.5108,1136318.013,1.13E+08,1.13E+08
36,432021.7331,1303723.807,1.05E+08,1.05E+08
37,187988.6656,1060114.359,1.16E+08,1.16E+08
38,163777.5542,1034504.748,1.16E+08,1.16E+08
39,185806.66,1056000.257,1.16E+08,1.16E+08
40,253625.6294,1123469.324,1.14E+08,1.14E+08
41,299776.7089,1170532.59,1.12E+08,1.12E+08
42,364623.4417,1236157.122,1.07E+08,1.07E+08
43,148555.1856,1020579.983,1.17E+08,1.17E+08
44,170158.615,1040535.671,1.17E+08,1.17E+08
45,216502.6747,1086730.774,1.15E+08,1.15E+08
46,175974.6669,1046797.278,1.17E+08,1.17E+08
47,201531.4989,1071920.061,1.16E+08,1.16E+08
48,197473.9506,1068629.806,1.16E+08,1.16E+08
49,159542.3339,1030543.717,1.17E+08,1.17E+08
50,172326.7342,1042295.255,1.17E+08,1.17E+08
51,138455.3608,1008572.029,1.19E+08,1.19E+08
52,227274.3917,1097067.583,1.16E+08,1.16E+08
53,162985.0072,1032990.055,1.18E+08,1.18E+08
54,251812.1264,1121687.208,1.15E+08,1.15E+08
55,291527.7608,1161728.906,1.14E+08,1.14E+08
56,237755.3544,1108300.449,1.16E+08,1.16E+08
57,183936.1767,1054314.731,1.17E+08,1.17E+08
