Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73338.65472,946472.8211,1.17E+08,1.17E+08
1,156563.8639,1027878.25,1.14E+08,1.14E+08
2,184639.8286,1056433.721,1.13E+08,1.13E+08
3,255838.3281,1127941.477,1.11E+08,1.11E+08
4,181790.0606,1054194.361,1.13E+08,1.13E+08
5,182594.4467,1054788.283,1.13E+08,1.13E+08
6,147817.8692,1020187.195,1.14E+08,1.14E+08
7,280108.8644,1151802.877,1.10E+08,1.10E+08
8,219486.9939,1092072.902,1.13E+08,1.13E+08
9,178272.4708,1050744.465,1.13E+08,1.13E+08
10,269975.2533,1141751.683,1.11E+08,1.11E+08
11,252998.9667,1125421.162,1.12E+08,1.12E+08
12,164036.5353,1036314.366,1.15E+08,1.15E+08
13,138528.6486,1010238.216,1.15E+08,1.15E+08
14,243134.1114,1114479.121,1.12E+08,1.12E+08
15,211403.2614,1083547.499,1.14E+08,1.14E+08
16,159982.7886,1032072.731,1.15E+08,1.15E+08
17,176090.9583,1047694.814,1.14E+08,1.14E+08
18,177813.5647,1048881.779,1.14E+08,1.14E+08
19,1931652.222,2782636.484,4.30E+07,4.30E+07
20,564770.2458,1441921.953,9.90E+07,9.90E+07
21,414904.17,1288298.109,1.07E+08,1.07E+08
22,179194.6819,1051975.765,1.14E+08,1.14E+08
23,223337.8939,1095632.337,1.12E+08,1.12E+08
24,218945.7106,1091041.749,1.13E+08,1.13E+08
25,311120.2561,1183165.709,1.09E+08,1.09E+08
26,1623915.904,2488994.143,5.58E+07,5.58E+07
27,618591.1531,1496034.058,9.94E+07,9.94E+07
28,345394.4475,1219725.886,1.09E+08,1.09E+08
29,224248.9217,1097948.878,1.13E+08,1.13E+08
30,217306.9928,1090565.858,1.14E+08,1.14E+08
31,208818.3167,1082110.123,1.14E+08,1.14E+08
32,220997.2836,1094233.35,1.14E+08,1.14E+08
33,240610.5806,1114128.092,1.13E+08,1.13E+08
34,243696.0406,1116721.441,1.13E+08,1.13E+08
35,228285.1183,1101751.847,1.13E+08,1.13E+08
36,194470.2697,1067171.645,1.15E+08,1.15E+08
37,212832.9506,1085792.594,1.14E+08,1.14E+08
38,166684.6394,1039022.186,1.16E+08,1.16E+08
39,221346.8983,1093324.275,1.15E+08,1.15E+08
40,247333.4922,1118856.34,1.14E+08,1.14E+08
41,188312.8258,1060365.906,1.16E+08,1.16E+08
42,146747.1764,1018641.661,1.17E+08,1.17E+08
43,240313.7375,1111474.399,1.14E+08,1.14E+08
44,215126.4619,1087238.809,1.15E+08,1.15E+08
45,155645.9347,1027460.168,1.17E+08,1.17E+08
46,155397.1042,1026611.413,1.17E+08,1.17E+08
47,208129.0197,1079220.017,1.15E+08,1.15E+08
48,166623.7139,1037874.735,1.17E+08,1.17E+08
49,190854.6458,1061939.583,1.16E+08,1.16E+08
50,147774.8664,1018789.978,1.18E+08,1.18E+08
51,230699.3617,1101366.491,1.16E+08,1.16E+08
52,155922.1781,1026580.18,1.18E+08,1.18E+08
53,219955.8958,1090260.592,1.15E+08,1.15E+08
54,198322.6222,1069491.566,1.17E+08,1.17E+08
55,180394.4519,1051397.254,1.17E+08,1.17E+08
56,181308.4044,1051812.423,1.17E+08,1.17E+08
57,242831.7358,1113802.649,1.15E+08,1.15E+08
58,297598.0811,1168530.943,1.15E+08,1.15E+08
59,262500.9675,1134047.992,1.14E+08,1.14E+08
60,333150.4464,1204711.373,1.13E+08,1.13E+08
61,319431.7497,1191514.083,1.13E+08,1.13E+08
62,321667.1853,1193441.465,1.14E+08,1.14E+08
63,151711.4017,1023877.349,1.18E+08,1.18E+08
64,174790.8356,1045806.292,1.18E+08,1.18E+08
65,159371.7117,1030751.779,1.19E+08,1.19E+08
66,190336.6758,1060950.247,1.18E+08,1.18E+08
67,1991409.204,2841577.746,4.41E+07,4.41E+07
68,445553.5567,1321241.63,1.07E+08,1.07E+08
69,295259.5094,1167194.515,1.15E+08,1.15E+08
70,233332.0828,1105403.735,1.16E+08,1.16E+08
71,1774819.431,2632769.425,5.54E+07,5.54E+07
72,509179.1061,1385898.393,1.07E+08,1.07E+08
73,249717.7111,1122311.451,1.15E+08,1.15E+08
74,201755.7292,1074297.495,1.17E+08,1.17E+08
75,214203.3714,1086307.989,1.18E+08,1.18E+08
76,205749.5925,1078245.306,1.18E+08,1.18E+08
77,144643.4361,1016343.11,1.19E+08,1.19E+08
78,225285.4208,1096569.534,1.17E+08,1.17E+08
79,244811.8461,1116193.419,1.17E+08,1.17E+08
80,236056.8447,1107991.521,1.17E+08,1.17E+08
81,288568.5758,1160306.377,1.15E+08,1.15E+08
82,471647.2969,1344483.477,1.05E+08,1.05E+08
83,275355.1158,1149181.393,1.15E+08,1.15E+08
84,252822.5103,1125589.051,1.16E+08,1.16E+08
85,241635.5117,1114072.75,1.17E+08,1.17E+08
86,110272.4422,983224.7461,1.22E+08,1.22E+08
87,100211.9922,973020.47,1.22E+08,1.22E+08
88,97550.85917,970328.8411,1.22E+08,1.22E+08
89,96767.89694,969523.5453,1.22E+08,1.22E+08
90,97031.21333,969778.6786,1.22E+08,1.22E+08
91,96036.4275,968780.9978,1.22E+08,1.22E+08
92,95588.11417,968326.6794,1.22E+08,1.22E+08
93,95532.98111,968255.4706,1.22E+08,1.22E+08
94,95633.51472,968353.5453,1.22E+08,1.22E+08
95,95305.82722,968031.6758,1.22E+08,1.22E+08
96,95777.01639,968486.7072,1.22E+08,1.22E+08
97,95568.65222,968278.7714,1.22E+08,1.22E+08
98,94997.50778,967704.2989,1.22E+08,1.22E+08
99,94847.67167,967548.2103,1.22E+08,1.22E+08
100,95034.88667,967736.0628,1.22E+08,1.22E+08
