Iteration , Total delay [hours] , Total congestion toll payments [monetary units] , Total travel time [hours], Total user benefits [monetary units]," System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]"
0,73285.25444444445,0.0,946416.3052777778,116920788.94410324,116920788.94410324
1,150917.73972222224,0.0,1022216.0938888888,113966526.84856586,113966526.84856586
2,160332.27194444445,0.0,1031873.4377777778,113529112.10455416,113529112.10455416
3,236636.62583333327,0.0,1108457.713611111,111925792.00369552,111925792.00369552
4,171996.20055555555,0.0,1044051.5761111112,113419854.8956334,113419854.8956334
5,170157.12944444444,0.0,1042205.5933333334,113718228.90948407,113718228.90948407
6,130534.42305555556,0.0,1002442.0319444444,114708589.8031095,114708589.8031095
7,214280.54611111112,0.0,1085695.641388889,112859942.59516609,112859942.59516609
8,218883.57527777777,0.0,1090644.2055555556,112786506.95390847,112786506.95390847
9,195962.75166666668,0.0,1067956.1552777777,113454102.0300647,113454102.0300647
10,229453.9669444445,0.0,1101080.2208333334,112271425.018147,112271425.018147
11,149165.94833333333,0.0,1021066.5947222222,114144883.066974,114144883.066974
12,204107.0325,0.0,1075380.9461111112,113472067.3992284,113472067.3992284
13,179892.87722222222,0.0,1051835.25,114226605.03767876,114226605.03767876
14,129948.35972222222,0.0,1001380.3641666666,115550938.86321616,115550938.86321616
15,187519.7805555556,0.0,1058172.2061111112,114282477.55901466,114282477.55901466
16,199386.53583333333,0.0,1070325.7422222225,114321333.94221815,114321333.94221815
17,200846.47416666665,0.0,1072334.284166667,113952477.93651372,113952477.93651372
18,1671886.8338888888,0.0,2526689.6333333333,52857862.178552814,52857862.178552814
19,492041.7983333333,0.0,1367885.0983333334,102751919.14749694,102751919.14749694
20,432589.5669444445,0.0,1305675.9752777778,107525754.2706774,107525754.2706774
21,169665.48,0.0,1042209.7938888888,114771979.44498028,114771979.44498028
22,216326.53305555557,0.0,1088354.7866666666,112860225.2802268,112860225.2802268
23,158113.54305555555,0.0,1030156.4561111112,115270285.89590634,115270285.89590634
24,163950.67722222224,0.0,1034924.8155555556,115024914.766404,115024914.766404
25,237221.59583333333,0.0,1108646.1241666668,112092271.26366948,112092271.26366948
26,230594.17,0.0,1101912.1655555556,112753302.83145198,112753302.83145198
27,158581.00861111112,0.0,1029884.6911111112,115610836.23451409,115610836.23451409
28,184808.94333333333,0.0,1055483.4597222223,115167217.14325368,115167217.14325368
29,251740.7958333333,0.0,1122789.4308333334,112110512.05509222,112110512.05509222
30,466800.89,0.0,1337800.358611111,100327882.74684612,100327882.74684612
31,176926.70138888888,0.0,1049459.0652777778,114795165.30560544,114795165.30560544
32,233282.45361111112,0.0,1104112.048611111,113322927.81996857,113322927.81996857
33,1633003.9952777778,0.0,2490720.117222222,56554688.70582968,56554688.70582968
34,416501.2038888889,0.0,1292189.558611111,106473040.42346343,106473040.42346343
35,436715.5516666667,0.0,1309071.45,108165339.45008604,108165339.45008604
36,181176.38722222223,0.0,1053726.4208333334,115288303.1530144,115288303.1530144
37,203607.56944444444,0.0,1075483.3436111112,114888270.44214869,114888270.44214869
38,175319.50972222222,0.0,1047477.3402777778,115743759.75286084,115743759.75286084
39,135591.52194444445,0.0,1007172.9583333334,117002363.57609476,117002363.57609476
40,150423.8177777778,0.0,1021469.8638888889,115969093.58177358,115969093.58177358
41,117974.36666666668,0.0,988711.7927777778,117569397.3700727,117569397.3700727
42,178123.78805555555,0.0,1048078.0377777778,116137913.84052368,116137913.84052368
43,205926.5263888889,0.0,1076752.148611111,114914650.7786704,114914650.7786704
44,192708.0308333333,0.0,1063646.332222222,114975048.07864843,114975048.07864843
45,138163.7625,0.0,1008403.8308333332,117644083.68312494,117644083.68312494
46,188983.1544444445,0.0,1058937.0994444443,115751509.38442686,115751509.38442686
47,206798.74972222224,0.0,1076970.006388889,116114081.87291747,116114081.87291747
48,232291.6588888889,0.0,1103008.6766666668,114298367.30645458,114298367.30645458
49,177067.6813888889,0.0,1047833.6147222222,116834326.48364462,116834326.48364462
50,198167.1302777778,0.0,1068709.93,116093270.43941252,116093270.43941252
51,206161.97333333333,0.0,1076661.3630555556,115611245.38896658,115611245.38896658
52,188799.19222222225,0.0,1059015.4769444445,116550877.94285356,116550877.94285356
53,186161.8202777778,0.0,1056284.6255555556,116665002.03974,116665002.03974
54,215439.6913888889,0.0,1085619.2625,116224913.22307771,116224913.22307771
55,343918.0113888889,0.0,1214683.9652777778,112027895.5248677,112027895.5248677
56,480883.6091666667,0.0,1352069.1277777778,108815356.72154269,108815356.72154269
57,212093.8525,0.0,1084292.9302777778,116268857.68673514,116268857.68673514
