ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	58.28862036143234	44.35297596144154	51.42801150370692	58.28935039686412
1	56.636482708180225	44.1569120192873	51.35456929493182	57.98169685420447
2	56.5010370961795	44.85066901561789	51.617997390497955	57.79974294010784
3	56.59736354102933	45.50861201459172	51.90547087266506	57.853323845439135
4	57.26492752665448	46.187287039301296	52.283369263213686	58.169518823578436
5	56.43841508891953	46.643486887682855	52.42431485400743	57.87863096167874
6	56.72095372804781	47.211855419047005	52.656675801609495	57.92020793940979
7	56.78021720251087	47.657482751306894	52.868194059316	58.026245584968436
8	56.658306133044725	47.99890746301955	53.026154032062756	57.998919718762444
9	56.78951105690196	48.374948435291365	53.202219203976576	58.051323592663714
10	56.82185954719908	48.75634529764796	53.35931696308617	58.05945417085457
11	52.12024351471457	45.1561571030221	52.59166250941819	57.79453522279668
12	56.989523345243654	46.306345441168084	52.958218016634206	58.104233333967
13	56.96857996283087	47.0438640247706	53.212135575373765	58.22427856251241
14	56.42564135325221	47.50449282620571	53.31355962824025	58.13827528494055
15	56.26898818195298	47.84833215008538	53.38793922677443	58.07543870024768
16	56.192199847068714	48.28156454956385	53.4471185229256	57.9275357332449
17	56.57333437171737	48.64575882241709	53.584559907089236	58.09196659520254
18	55.506778522668085	48.53967354706195	53.477536700572195	57.83992263725619
19	56.632492444158515	49.0073568495933	53.64045492292484	57.992580257226415
20	57.36912162238308	49.417241017423585	53.89149165534187	58.51028999489712
21	57.74582405588015	49.84215216147646	54.11465873304979	58.713060412092496
22	57.2626692578513	50.06552354607595	54.1986940452807	58.66180598098437
23	57.76389899355136	50.35724937280846	54.3823524892114	58.88862546859059
24	57.279863130823855	50.43237091173398	54.42719772543001	58.78782651979744
25	57.52472050664735	50.578423104554865	54.536284248806474	58.892648058926696
26	56.78422102101881	50.37313352426815	54.48019870327845	58.74693565044015
27	57.446670442289616	50.586004603937226	54.58993341524751	58.880604444113736
28	56.4107610857093	49.88735299767015	54.465718522209826	58.95726649181933
29	57.74990428356494	50.32909611365346	54.622398777135274	59.0456847314179
30	57.66597698830648	50.58697248530842	54.71860417233455	59.020981394897696
31	57.14077473692426	50.56346708523143	54.710406238504746	58.92823084299129
32	57.730402400524255	50.850594825107805	54.839694065858026	59.0809688557166
33	57.81724167771149	50.997686741813936	54.93927592003335	59.22929482703943
34	57.94148691599577	51.192071639070406	55.03442396746192	59.25562410458859
35	57.870809599810634	51.248570881810025	55.105495208234686	59.36748917578179
36	58.38830413452247	51.49059141093093	55.25961441337068	59.53710287235665
37	57.637099072061275	51.335918050779114	55.22861250190645	59.40117002752211
38	32.44917390404899	28.228988170283454	50.361333068777	58.67044238932545
39	54.3066832210929	31.498369290858573	50.76011408993682	58.780661231008196
40	29.339051356387106	17.99310341868139	46.165930880470455	58.03255334466932
41	56.99367494284239	22.968977955507885	47.57866404856293	58.94417768354088
42	56.831962088527696	27.051149872155825	48.57564655649931	59.00158817029627
43	58.03009778474924	30.797193461890444	49.648633992410204	59.22294512499612
44	58.147890049085106	33.9096160155281	50.55707415395578	59.42750707546948
45	54.348252320457426	35.271534523609105	50.592357229148874	58.731820228812985
46	57.25221922127662	37.635592302798706	51.25332301271202	59.03413870267304
47	58.53035971901026	39.880827505854896	52.009392164060515	59.579160994424065
48	57.50961946513582	41.61073382785796	52.386750892458	59.22404900046274
49	58.004842551955875	43.09183759287722	52.85963732952287	59.48841162514458
50	58.31483238876322	44.333002182855566	53.283682910828695	59.690145618929805
51	57.88502685807303	45.21537831232118	53.54642431163582	59.656245390822555
52	58.2623125990932	46.30697729839941	53.860067323965595	59.62790769563083
53	57.90161281555719	46.89695565529474	54.065833777654426	59.690511919134174
54	58.507440191634096	47.81516188718605	54.36234495656937	59.73768932938406
55	59.0503874084703	48.60886365928109	54.71773758416401	60.10957980146638
56	58.243951762533605	48.84259596102385	54.82290893804534	59.95672985473854
57	57.36088148350375	48.89599077108523	54.77930093395489	59.774754211102255
58	57.709560819828496	49.08254571023148	54.83200497038388	59.715617858033255
59	58.23586889563898	49.4759713206072	54.98893133176158	59.92795938123773
60	58.8947189830703	50.09194774186971	55.223113296582724	60.08502771688339
61	57.50045154189102	49.67617633601919	55.137422475967874	60.00298495982416
62	57.41903198321015	49.741037825266204	55.073602502218776	59.78321853615519
63	58.55258053012342	50.10327381504381	55.25741782144012	60.087208842415315
64	57.9819279252485	50.2934654804021	55.2680426485171	59.975599261039626
65	58.14910110666299	50.4546928308974	55.320989631586954	59.946536871657976
66	58.91439701227256	50.819698951206824	55.519790905668465	60.245538716344925
67	59.27829261174272	51.22092202060377	55.72347926691188	60.48191331556533
68	58.949999656817155	51.456614722738735	55.81155759835302	60.40089922206683
69	59.60035468747392	51.79863493786452	56.03116781142492	60.69250996839402
70	59.76247952460024	52.14700308866689	56.21549958601703	60.77543353598567
71	59.13479649043039	52.174042350900145	56.25284558833787	60.670164219359215
72	58.44824628665772	51.907480591035416	56.18006251411289	60.635693557276774
73	58.773147152879524	51.919034042649635	56.188548508082555	60.55854821798836
74	59.44139248449435	52.04704592556952	56.33854864107833	60.85576970933293
75	59.38568970536493	52.304231825676936	56.420374513104534	60.79596921593814
76	59.10537280789473	52.38662128078518	56.445323467551184	60.71106998571349
77	59.48921814858487	52.5398804837788	56.557378525590664	60.87480356372862
78	59.28923014346144	52.604644797157064	56.597571324833694	60.88799490711797
79	59.72164571865199	52.865633374851186	56.71725064174343	60.94717158735848
80	59.19446900987799	52.80538621766196	56.718260669715	60.905494155389604
81	58.67963797472402	52.49975342512319	56.63250690507943	60.810617996896994
82	36.97041454901645	32.66576586400029	52.38182377169564	60.093850427868574
83	58.351592285288895	36.49811062030041	53.16422297268939	60.59258929519768
84	36.33416887575535	29.428316994181962	49.435686911171985	59.8147737487339
85	55.659752362327545	31.11724197390593	49.89563089257634	60.092375838816096
86	58.365494229488085	33.3668199000555	50.715401202252906	60.39673572638628
87	58.61914853487621	35.59621250688918	51.44040812373296	60.502539701005915
88	59.07455727617325	37.75802787074738	52.15336126053021	60.68842406405148
89	59.7294056555929	39.86446895229834	52.87517528116166	60.917525900290755
90	59.85596567919921	41.69324774079419	53.50562742544297	61.095149747073755
91	61.45079166144478	43.636198171740745	54.10142864143918	61.53621351341538
92	61.55401734564254	43.631991599314716	54.10498940788439	61.58916680655112
93	61.58864323960724	43.62994654493715	54.10488469449768	61.6071677724932
94	61.590854173046196	43.62815880320093	54.101621974608065	61.60326018100087
95	61.59870160757501	43.627126702755426	54.10071025992137	61.605878532731666
96	61.6084993318829	43.62635953059857	54.10123441975331	61.613264291225
97	61.616425035473135	43.62583245699328	54.10186656860258	61.619657449397174
98	61.60894530778183	43.625335809261344	54.099724140280436	61.611873768526785
99	61.621487112745214	43.625097456441615	54.10164680912529	61.623259899717006
