Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,395783.3075,1295346.131,9.33E+07,9.33E+07
1,244070.7311,1142224.184,9.79E+07,9.79E+07
2,151988.2031,1048623.572,1.01E+08,1.01E+08
3,179807.5925,1074829.424,1.01E+08,1.01E+08
4,142336.7075,1036305.064,1.01E+08,1.01E+08
5,182636.6844,1075386.052,1.01E+08,1.01E+08
6,175467.4111,1067682.325,1.01E+08,1.01E+08
7,168901.8367,1059913.398,1.02E+08,1.02E+08
8,162679.81,1053193.929,1.02E+08,1.02E+08
9,192518.8056,1082076.832,1.02E+08,1.02E+08
10,171268.2531,1060326.286,1.02E+08,1.02E+08
11,186914.5714,1075559.952,1.02E+08,1.02E+08
12,213612.1478,1101392.707,1.01E+08,1.01E+08
13,180101.5061,1067834.508,1.02E+08,1.02E+08
14,187523.3322,1074587.89,1.02E+08,1.02E+08
15,182291.9169,1068697.03,1.02E+08,1.02E+08
16,157999.7831,1044215.661,1.03E+08,1.03E+08
17,154709.3414,1039701.288,1.03E+08,1.03E+08
18,169445.0025,1053811.561,1.03E+08,1.03E+08
19,158133.6783,1042007.422,1.04E+08,1.04E+08
20,126202.6022,1009870.668,1.05E+08,1.05E+08
21,141940.6483,1024310.575,1.05E+08,1.05E+08
22,130621.475,1012661.388,1.05E+08,1.05E+08
23,185416.5975,1066675.63,1.03E+08,1.03E+08
24,1695779.452,2565574.696,4.10E+07,4.10E+07
25,286305.8847,1172594.966,9.88E+07,9.88E+07
26,253198.0281,1136303.361,1.01E+08,1.01E+08
27,178899.2514,1061698.732,1.03E+08,1.03E+08
28,179887.9397,1062134.051,1.03E+08,1.03E+08
29,220403.4928,1102324.217,1.02E+08,1.02E+08
30,209471.7356,1091759.337,1.02E+08,1.02E+08
31,233025.0814,1115348.98,1.02E+08,1.02E+08
32,212245.1772,1094234.792,1.03E+08,1.03E+08
33,210374.7325,1092584.263,1.03E+08,1.03E+08
34,215632.1811,1097011.761,1.03E+08,1.03E+08
35,212849.8553,1094553.179,1.03E+08,1.03E+08
36,227935.2306,1108876.954,1.03E+08,1.03E+08
37,207111.1133,1088470.656,1.04E+08,1.04E+08
38,209664.6739,1090580.039,1.04E+08,1.04E+08
39,229014.4283,1110093.422,1.03E+08,1.03E+08
40,215556.5164,1096588.924,1.04E+08,1.04E+08
41,1891491.189,2753496.37,3.37E+07,3.37E+07
42,562565.9125,1448224.055,9.02E+07,9.02E+07
43,267938.0389,1149968.672,1.02E+08,1.02E+08
44,299131.9711,1180421.357,1.01E+08,1.01E+08
45,304853.2417,1186432.041,1.01E+08,1.01E+08
46,175344.5933,1056668.106,1.05E+08,1.05E+08
47,171822.5803,1051919.082,1.06E+08,1.06E+08
