Iteration ; Total delay [hours] ; Total congestion toll payments [monetary units] ; Total travel time [hours]; Total user benefits [monetary units]; System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]
55 ; 152872.74444444446 ; 0.0 ; 1020268.5797222222 ; 1.345730702170594E8;1.345730702170594E8
56 ; 173697.29861111112 ; 0.0 ; 1040603.0738888889 ; 1.3373701506764233E8;1.3373701506764233E8
57 ; 181553.10305555555 ; 0.0 ; 1048472.6705555556 ; 1.3333876099053025E8;1.3333876099053025E8
58 ; 166895.52333333335 ; 0.0 ; 1033831.7675 ; 1.3420950148579249E8;1.3420950148579249E8
59 ; 145801.81166666668 ; 0.0 ; 1012625.4788888888 ; 1.3514977242890722E8;1.3514977242890722E8
60 ; 143932.75 ; 0.0 ; 1010585.4705555555 ; 1.3552932947125286E8;1.3552932947125286E8
61 ; 191310.98694444445 ; 0.0 ; 1058003.9691666667 ; 1.3366066024071708E8;1.3366066024071708E8
62 ; 157930.3025 ; 0.0 ; 1024718.2683333333 ; 1.3496702738801286E8;1.3496702738801286E8
63 ; 105452.44583333333 ; 0.0 ; 972105.31 ; 1.3646451920448235E8;1.3646451920448235E8
64 ; 173210.0286111111 ; 0.0 ; 1039242.8663888889 ; 1.3445704142836136E8;1.3445704142836136E8
65 ; 210934.47222222222 ; 0.0 ; 1077553.8075 ; 1.336600140959823E8;1.336600140959823E8
66 ; 189303.5375 ; 0.0 ; 1056402.693611111 ; 1.3394765297661239E8;1.3394765297661239E8
67 ; 139109.61833333335 ; 0.0 ; 1005205.8497222222 ; 1.358392078370782E8;1.358392078370782E8
68 ; 240607.07416666666 ; 0.0 ; 1107126.8552777779 ; 1.3287665164535202E8;1.3287665164535202E8
69 ; 195006.95722222223 ; 0.0 ; 1061751.578611111 ; 1.3442969071908984E8;1.3442969071908984E8
70 ; 154647.40277777778 ; 0.0 ; 1021346.9786111111 ; 1.35492651844624E8;1.35492651844624E8
71 ; 164335.4688888889 ; 0.0 ; 1031093.5958333333 ; 1.3532814176885423E8;1.3532814176885423E8
72 ; 223004.265 ; 0.0 ; 1089621.2522222223 ; 1.3416266921630256E8;1.3416266921630256E8
73 ; 137548.97666666665 ; 0.0 ; 1004583.3602777778 ; 1.3566779028200507E8;1.3566779028200507E8
74 ; 184260.44611111112 ; 0.0 ; 1050857.5166666666 ; 1.3530533508690742E8;1.3530533508690742E8
75 ; 141286.9988888889 ; 0.0 ; 1008238.8927777777 ; 1.3565815292551687E8;1.3565815292551687E8
76 ; 232717.54305555555 ; 0.0 ; 1099032.4719444443 ; 1.3351485742057717E8;1.3351485742057717E8
77 ; 189607.29083333333 ; 0.0 ; 1056818.1447222221 ; 1.351788196229407E8;1.351788196229407E8
78 ; 131299.75194444443 ; 0.0 ; 998069.598611111 ; 1.3669959725458118E8;1.3669959725458118E8
79 ; 174390.72305555554 ; 0.0 ; 1040716.4866666667 ; 1.3554559218076402E8;1.3554559218076402E8
80 ; 156604.63416666666 ; 0.0 ; 1023208.1527777778 ; 1.363680374442671E8;1.363680374442671E8
81 ; 110916.355 ; 0.0 ; 977475.7391666666 ; 1.3751061331960565E8;1.3751061331960565E8
82 ; 113354.55388888888 ; 0.0 ; 979367.7180555556 ; 1.3764562947165686E8;1.3764562947165686E8
83 ; 157430.5175 ; 0.0 ; 1023479.8466666667 ; 1.365175896599486E8;1.365175896599486E8
84 ; 143837.39083333334 ; 0.0 ; 1009599.1538888889 ; 1.3668819425127202E8;1.3668819425127202E8
85 ; 199951.1886111111 ; 0.0 ; 1066117.8744444444 ; 1.3506544087736812E8;1.3506544087736812E8
86 ; 70510.1113888889 ; 0.0 ; 937093.5216666666 ; 1.3950360126364037E8;1.3950360126364037E8
87 ; 60582.766388888886 ; 0.0 ; 927025.4419444444 ; 1.3975904222611055E8;1.3975904222611055E8
88 ; 58527.67444444444 ; 0.0 ; 924907.905 ; 1.3981499890687788E8;1.3981499890687788E8
89 ; 57342.675833333335 ; 0.0 ; 923704.7325 ; 1.3984067265488815E8;1.3984067265488815E8
90 ; 56668.499444444446 ; 0.0 ; 923013.6716666666 ; 1.3986366044739586E8;1.3986366044739586E8
91 ; 58646.76611111111 ; 0.0 ; 924987.745 ; 1.3984564877026555E8;1.3984564877026555E8
92 ; 56438.645833333336 ; 0.0 ; 922776.4202777778 ; 1.3987888454402566E8;1.3987888454402566E8
93 ; 60852.322222222225 ; 0.0 ; 927191.5261111112 ; 1.3981386411376986E8;1.3981386411376986E8
94 ; 58811.06888888889 ; 0.0 ; 925165.2561111111 ; 1.3984518163588676E8;1.3984518163588676E8
95 ; 58033.154444444444 ; 0.0 ; 924378.6725 ; 1.3985782329708406E8;1.3985782329708406E8
96 ; 56837.85166666667 ; 0.0 ; 923171.9091666667 ; 1.3987628243559462E8;1.3987628243559462E8
97 ; 58483.18027777778 ; 0.0 ; 924816.5283333333 ; 1.3985247610680604E8;1.3985247610680604E8
98 ; 56493.47777777778 ; 0.0 ; 922823.1311111111 ; 1.398844956997398E8;1.398844956997398E8
99 ; 57901.1675 ; 0.0 ; 924227.5427777778 ; 1.3986610080950052E8;1.3986610080950052E8
100 ; 58017.17222222222 ; 0.0 ; 924339.6569444444 ; 1.3986359140498394E8;1.3986359140498394E8
