Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,474286.3794,1383499.564,8.88E+07,8.88E+07
1,252831.6106,1157264.181,9.66E+07,9.66E+07
2,189121.0669,1091734.258,9.86E+07,9.86E+07
3,191501.035,1091916.4,9.95E+07,9.95E+07
4,228483.9706,1127516.605,9.86E+07,9.86E+07
5,181335.0225,1079571.455,1.00E+08,1.00E+08
6,194213.0133,1091047.686,9.99E+07,9.99E+07
7,1246857.702,2133771.267,5.79E+07,5.79E+07
8,678427.1367,1578873.113,8.28E+07,8.28E+07
9,1252212.015,2148397.139,5.90E+07,5.90E+07
10,418450.2056,1320338.236,8.88E+07,8.88E+07
11,264674.8989,1163275.877,9.80E+07,9.80E+07
12,247135.4203,1143560.789,9.91E+07,9.91E+07
13,199860.88,1095114.573,1.01E+08,1.01E+08
14,156871.1808,1050650.713,1.02E+08,1.02E+08
15,266659.0758,1159323.508,9.84E+07,9.84E+07
16,239704.66,1131845.414,1.00E+08,1.00E+08
17,165940.0931,1057604.432,1.02E+08,1.02E+08
18,146000.8306,1036492.243,1.03E+08,1.03E+08
19,172386.9531,1061476.758,1.03E+08,1.03E+08
20,276982.9442,1165744.174,9.87E+07,9.87E+07
21,235783.0431,1124992.326,1.00E+08,1.00E+08
22,240143.2861,1129034.328,1.00E+08,1.00E+08
23,255418.8592,1143533.071,1.00E+08,1.00E+08
24,168099.2475,1056153.437,1.03E+08,1.03E+08
25,211349.3083,1098684.572,1.01E+08,1.01E+08
26,284727.9075,1171061.114,9.94E+07,9.94E+07
27,169406.1728,1056186.835,1.03E+08,1.03E+08
28,162558.7528,1048260.875,1.04E+08,1.04E+08
29,153979.9867,1039033.469,1.04E+08,1.04E+08
30,168902.205,1053233.223,1.04E+08,1.04E+08
31,223797.0503,1107814.365,1.02E+08,1.02E+08
32,149194.5103,1032967.316,1.05E+08,1.05E+08
33,201920.2514,1084646.349,1.03E+08,1.03E+08
34,189361.9736,1072417.413,1.03E+08,1.03E+08
35,191048.5886,1073559.187,1.04E+08,1.04E+08
36,201453.9019,1083886.561,1.04E+08,1.04E+08
37,165810.6242,1047960.042,1.05E+08,1.05E+08
38,198740.5089,1080283.276,1.04E+08,1.04E+08
39,239959.5681,1121707.783,1.02E+08,1.02E+08
40,233305.2825,1114920.757,1.03E+08,1.03E+08
41,280429.1164,1162172.258,1.01E+08,1.01E+08
42,2006491.166,2884047.998,3.54E+07,3.54E+07
43,427994.2958,1315902.879,9.48E+07,9.48E+07
44,252742.2611,1136281.614,1.03E+08,1.03E+08
45,183034.1903,1065401.5,1.05E+08,1.05E+08
46,247395.6633,1129018.398,1.03E+08,1.03E+08
47,202786.9086,1084399.994,1.04E+08,1.04E+08
48,200910.1761,1082033.878,1.04E+08,1.04E+08
49,210821.6814,1092034.376,1.04E+08,1.04E+08
50,153443.0036,1033888.537,1.06E+08,1.06E+08
51,166182.4742,1046078.001,1.06E+08,1.06E+08
52,242904.7122,1122279.262,1.04E+08,1.04E+08
53,244759.7139,1124279.709,1.04E+08,1.04E+08
54,158487.0075,1038597.272,1.06E+08,1.06E+08
55,196054.8297,1074746.571,1.05E+08,1.05E+08
56,173058.9108,1051821.013,1.06E+08,1.06E+08
57,235536.4311,1114004.069,1.04E+08,1.04E+08
58,191810.1086,1070498.123,1.06E+08,1.06E+08
59,257600.9386,1135567.911,1.04E+08,1.04E+08
60,264970.2539,1143362.316,1.04E+08,1.04E+08
61,201655.0456,1080161.769,1.06E+08,1.06E+08
62,202485.25,1080840.295,1.06E+08,1.06E+08
63,196960.3161,1074956.297,1.06E+08,1.06E+08
64,261428.3328,1139239.581,1.04E+08,1.04E+08
65,226339.9264,1104237.675,1.05E+08,1.05E+08
66,245502.4208,1122815.324,1.05E+08,1.05E+08
67,271500.8689,1149383.127,1.05E+08,1.05E+08
68,199170.0903,1076658.131,1.07E+08,1.07E+08
69,193311.5567,1070847.92,1.07E+08,1.07E+08
70,166809.8592,1043904.764,1.08E+08,1.08E+08
71,214283.1528,1091171.675,1.07E+08,1.07E+08
72,251012.5531,1127708.896,1.06E+08,1.06E+08
73,224831.3547,1102164.932,1.06E+08,1.06E+08
