Iteration , Total delay [hours] , Total congestion toll payments [monetary units] , Total travel time [hours], Total user benefits [monetary units]," System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]"
81,150693.76638888888,0.0,1021272.4177777778,119799038.07630225,119799038.07630225
82,144503.73555555556,0.0,1014527.8541666666,120124973.92956243,120124973.92956243
83,148305.47166666668,0.0,1017554.5502777778,119998011.70795108,119998011.70795108
84,138260.81472222222,0.0,1007642.2233333334,120667508.97690491,120667508.97690491
85,175067.06805555554,0.0,1044063.2344444444,119642257.4152119,119642257.4152119
86,236490.54555555555,0.0,1106058.473611111,117094923.98838238,117094923.98838238
87,287440.8155555556,0.0,1157123.0480555557,115323390.74568602,115323390.74568602
88,179464.3063888889,0.0,1049445.3255555555,119925085.8537087,119925085.8537087
89,302736.72833333333,0.0,1172297.1666666667,116069846.67079872,116069846.67079872
90,281512.6097222222,0.0,1151795.0905555557,116918537.73131032,116918537.73131032
91,92204.61777777778,0.0,962358.0161111112,122990633.49315652,122990633.49315652
92,84469.47472222222,0.0,954507.7411111112,123283664.20890546,123283664.20890546
93,82527.37277777778,0.0,952536.8527777778,123351249.45100716,123351249.45100716
94,81615.18388888889,0.0,951591.9752777778,123388372.64702716,123388372.64702716
95,81245.16333333333,0.0,951210.4908333332,123406243.1774549,123406243.1774549
96,80496.67138888889,0.0,950454.7797222222,123427381.7722188,123427381.7722188
97,79794.91666666667,0.0,949748.6622222222,123443954.74276637,123443954.74276637
98,79974.51305555555,0.0,949917.475,123441222.43528074,123441222.43528074
99,79834.39333333333,0.0,949779.1891666668,123444797.1347204,123444797.1347204
100,79637.87777777777,0.0,949569.2333333332,123449159.53949337,123449159.53949337
