Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73330.08583,946462.3822,1.17E+08,1.17E+08
1,117302.82,988578.2033,1.15E+08,1.15E+08
2,1642814.108,2502098.313,6.67E+07,6.67E+07
3,334050.2675,1210321.578,1.07E+08,1.07E+08
4,259737.6039,1132811.792,1.11E+08,1.11E+08
5,167800.3994,1040992.18,1.13E+08,1.13E+08
6,236113.2431,1108935.696,1.11E+08,1.11E+08
7,259894.5014,1133242.764,1.11E+08,1.11E+08
8,235008.0672,1108568.469,1.11E+08,1.11E+08
9,351729.2311,1225542.531,1.08E+08,1.08E+08
10,250099.0661,1123836.859,1.11E+08,1.11E+08
11,260153.0969,1133560.979,1.11E+08,1.11E+08
12,1950511.049,2804067.026,5.61E+07,5.61E+07
13,527736.5258,1406937.702,1.02E+08,1.02E+08
14,247609.4878,1121976.413,1.11E+08,1.11E+08
15,185210.2319,1059316.53,1.13E+08,1.13E+08
16,215180.1981,1088593.096,1.12E+08,1.12E+08
17,188327.6492,1062146.748,1.13E+08,1.13E+08
18,195745.1744,1069064.528,1.13E+08,1.13E+08
19,207990.3236,1081633.441,1.13E+08,1.13E+08
20,213968.2681,1087067.288,1.13E+08,1.13E+08
21,170754.9844,1043975.015,1.14E+08,1.14E+08
22,159554.7553,1031787.051,1.15E+08,1.15E+08
23,129595.3253,1001415.228,1.16E+08,1.16E+08
24,119232.4911,990820.5689,1.16E+08,1.16E+08
25,278770.4858,1149769.098,1.12E+08,1.12E+08
26,292367.5375,1164838.837,1.11E+08,1.11E+08
27,278536.1853,1150997.821,1.12E+08,1.12E+08
28,285278.5994,1157995.023,1.12E+08,1.12E+08
29,1913130.295,2771371.407,4.44E+07,4.44E+07
30,376173.8944,1254035.825,1.07E+08,1.07E+08
31,244560.0981,1118128.198,1.12E+08,1.12E+08
32,274567.2922,1148019.183,1.11E+08,1.11E+08
33,285109.5472,1158642.556,1.11E+08,1.11E+08
34,151966.6131,1025699.434,1.16E+08,1.16E+08
35,127997.2669,1000497.079,1.16E+08,1.16E+08
