Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73475.92611,946612.0278,1.17E+08,1.17E+08
1,141885.3481,1013177.328,1.14E+08,1.14E+08
2,153371.5336,1024957.464,1.14E+08,1.14E+08
3,245940.3194,1117700.873,1.12E+08,1.12E+08
4,152515.1303,1024700.847,1.14E+08,1.14E+08
5,175888.8206,1047484.238,1.14E+08,1.14E+08
6,228178.3281,1100222.396,1.11E+08,1.11E+08
7,207563.8914,1079255.07,1.13E+08,1.13E+08
8,184837.9197,1056638.269,1.14E+08,1.14E+08
9,139704.0358,1011380.311,1.15E+08,1.15E+08
10,166130.3447,1036979.035,1.14E+08,1.14E+08
11,143168.9575,1014353.938,1.15E+08,1.15E+08
12,206839.3606,1077291.288,1.13E+08,1.13E+08
13,1854996.377,2707102,4.35E+07,4.35E+07
14,515778.7983,1391578.412,1.02E+08,1.02E+08
15,406059.7197,1279354.544,1.01E+08,1.01E+08
16,185458.8361,1059034.848,1.14E+08,1.14E+08
17,206536.0689,1078589.756,1.12E+08,1.12E+08
18,320539.0644,1192574.755,1.08E+08,1.08E+08
19,191492.6658,1064230.378,1.14E+08,1.14E+08
20,411850.1336,1283921.99,1.03E+08,1.03E+08
21,255912.1622,1128905.507,1.12E+08,1.12E+08
22,186992.0006,1059629.565,1.14E+08,1.14E+08
23,244005.6103,1116062.278,1.12E+08,1.12E+08
24,212522.1489,1084635.038,1.14E+08,1.14E+08
25,241365.4308,1113903.425,1.13E+08,1.13E+08
26,218847.0939,1090632.37,1.13E+08,1.13E+08
27,204714.2783,1076778.961,1.14E+08,1.14E+08
28,141372.3483,1013355.739,1.16E+08,1.16E+08
29,150108.9478,1021726.096,1.16E+08,1.16E+08
30,136175.3525,1007288.095,1.16E+08,1.16E+08
31,197587.0817,1068522.005,1.15E+08,1.15E+08
32,158084.3403,1029519.563,1.16E+08,1.16E+08
33,219401.9461,1090484.928,1.14E+08,1.14E+08
34,183709.4619,1054544.501,1.16E+08,1.16E+08
35,156052.8042,1026788.811,1.16E+08,1.16E+08
36,217909.1442,1088445.994,1.15E+08,1.15E+08
37,214005.7689,1084657.035,1.15E+08,1.15E+08
38,223524.4239,1094227.076,1.14E+08,1.14E+08
39,189618.5453,1060751.314,1.16E+08,1.16E+08
40,158009.4433,1028806.228,1.17E+08,1.17E+08
41,172725.5,1043118.572,1.16E+08,1.16E+08
42,1803615.95,2656398.526,4.88E+07,4.88E+07
43,480170.7356,1354836.752,1.06E+08,1.06E+08
44,194449.4656,1066222.145,1.16E+08,1.16E+08
45,175616.4625,1046684.301,1.16E+08,1.16E+08
46,171751.9939,1042329.979,1.17E+08,1.17E+08
47,171199.0744,1042194.678,1.16E+08,1.16E+08
48,1611696.275,2473835.409,6.15E+07,6.15E+07
49,917292.9647,1790906.801,8.94E+07,8.94E+07
50,386623.8642,1259857.755,1.10E+08,1.10E+08
51,400672.0569,1272935.487,1.09E+08,1.09E+08
52,207188.8522,1080126.44,1.15E+08,1.15E+08
53,165486.6272,1036893.27,1.16E+08,1.16E+08
54,232231.2606,1103257.745,1.15E+08,1.15E+08
55,237119.7978,1108668.308,1.15E+08,1.15E+08
56,218907.4786,1090619.388,1.16E+08,1.16E+08
57,210738.6386,1082643.781,1.16E+08,1.16E+08
58,268792.9367,1140443.693,1.14E+08,1.14E+08
59,158988.0292,1030938.459,1.18E+08,1.18E+08
60,121039.1917,991945.0975,1.19E+08,1.19E+08
61,156537.9353,1026805.458,1.18E+08,1.18E+08
62,189995.2936,1060690.705,1.16E+08,1.16E+08
63,234728.7475,1105564.804,1.16E+08,1.16E+08
64,215484.1278,1086558.905,1.17E+08,1.17E+08
65,320998.6753,1191886.708,1.10E+08,1.10E+08
66,204579.0192,1076790.674,1.17E+08,1.17E+08
67,236273.5333,1107337.394,1.16E+08,1.16E+08
68,195843.4861,1067301.23,1.17E+08,1.17E+08
69,179300.6656,1049816.521,1.18E+08,1.18E+08
70,222558.4914,1093059.576,1.17E+08,1.17E+08
71,263492.1761,1134704.199,1.16E+08,1.16E+08
72,234200.6853,1105119.635,1.17E+08,1.17E+08
73,206162.8931,1077540.643,1.17E+08,1.17E+08
74,151637.6575,1021859.213,1.19E+08,1.19E+08
75,205425.4478,1075274.782,1.18E+08,1.18E+08
76,204570.1281,1074929.369,1.18E+08,1.18E+08
77,146289.3753,1016666.124,1.20E+08,1.20E+08
78,213249.9042,1082954.601,1.18E+08,1.18E+08
79,177166.8386,1047469.464,1.19E+08,1.19E+08
80,188714.7972,1059106.391,1.18E+08,1.18E+08
81,209999.135,1080158.622,1.16E+08,1.16E+08
82,190278.7358,1060938.742,1.19E+08,1.19E+08
83,465300.0819,1335767.686,1.05E+08,1.05E+08
84,263857.9261,1135631.429,1.17E+08,1.17E+08
85,214947.5844,1085987.528,1.18E+08,1.18E+08
86,88773.40194,959845.7564,1.23E+08,1.23E+08
87,82514.31306,953445.6067,1.23E+08,1.23E+08
88,81311.52944,952213.1819,1.23E+08,1.23E+08
89,80777.68694,951645.8914,1.23E+08,1.23E+08
90,80382.235,951246.0717,1.23E+08,1.23E+08
91,80034.05361,950882.1917,1.23E+08,1.23E+08
92,79822.29806,950664.575,1.23E+08,1.23E+08
93,79726.0675,950568.0036,1.23E+08,1.23E+08
94,79764.45778,950596.0169,1.23E+08,1.23E+08
95,79668.41806,950503.0458,1.23E+08,1.23E+08
96,79343.82667,950178.7517,1.23E+08,1.23E+08
97,79082.61472,949914.8478,1.23E+08,1.23E+08
98,79288.76417,950111.6553,1.23E+08,1.23E+08
99,79144.78806,949963.9247,1.23E+08,1.23E+08
100,79041.65722,949863.6678,1.23E+08,1.23E+08
