Number,Date ,Time,T5-T0 (Mins.),Location,Class,Affected Volume,Total Excess Travel Time,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction,Responding IMTs,MATSim Link,Start,End,,,,,,
35,7/17/2018,17:21:48,36,2300 S I15 NB,1,4854,155.03,40.7185,-111.90433,4,1,0.25,2,45972,62508,64668,,,1,0.34921,34.92%,0.349206349
36,7/17/2018,17:32:43,30,13932 S I15 NB,1,6477,142.99,40.49472,-111.89096,5,1,0.2,2,24390,63163,64963,,,2,0.53439,18.52%,0.534391534
37,7/18/2018,12:42:56,109,272003 I15 SB,1,8463,33.47,40.59016,-111.90093,6,1,0.411,1,24923,45776,52316,,,3,0.73016,19.58%,0.73015873
38,7/19/2018,10:58:08,59,3900 S I15 SB,1,6928,34.99,40.63681,-111.90454,7,1,0.3616,1,35043,39488,43028,,,4,0.89947,16.93%,0.899470899
39,7/30/2018,18:18:19,82,284059 I15 NB,1,5155,51.74,40.54819,-111.89557,5,1,0.5,2,24957,65899,70819,,,5,1,10.05%,1
40,8/6/2018,10:50:59,5,12200 S I15 SB,1,2077,4.46,40.52195,-111.89097,6,1,0.1667,1,24929,39059,39359,,,,,,
41,8/6/2018,16:47:18,14,7121 S I15 SB,1,10225,112.41,40.64801,-111.9023,7,1,0.1429,1,24374,60438,61278,,Number of Incidents,Frequency,Odds MATSim,Percent Likelyhood,
42,8/8/2018,16:14:04,11,271005 I15 NB,1,5483,114.35,40.34171,-111.75586,6,2,0.1667,1,24915,58444,59104,,1,6,0.045113,5%,0.045112782
43,8/16/2018,7:58:34,15,14200 S I15 NB,1,3348,94.47,40.50443,-111.89097,5,1,0.2,1,24924,28714,29614,,2,0,0.045113,0%,0.045112782
44,8/22/2018,7:55:19,15,6200 S I15 SB,1,10350,23.7,40.33771,-111.74962,7,1,0.2121,1,24923,28519,29419,,3,2,0.06015,2%,0.060150376
45,8/23/2018,13:36:43,19,261034 I15 SB,1,9212,1.15,40.16132,-111.64658,6,1,0.1667,1,24616,49003,50143,,4,9,0.12782,7%,0.127819549
46,8/24/2018,17:49:06,18,1300 E I80 EB ,1,2888,84.48,40.71929,-111.86541,4,1,0.25,1,24514,64146,65226,,5,7,0.180451,5%,0.180451128
47,8/27/2018,7:43:29,33,2730 S I15 NB,1,2803,165.34,40.25448,-111.69836,6,1,0.39,2,2841,27809,29789,,6,19,0.323308,14%,0.323308271
48,8/27/2018,9:35:04,51,1133 N I15 SB,1,6159,18.08,40.7923,-111.9162,4,1,0.25,1,24351,34504,37564,,7,19,0.466165,14%,0.466165414
49,9/6/2018,6:51:36,51,279008 I15 SB,1,4978,6.32,40.38231,-111.82782,6,2,0.3333,2,24420,24696,27756,,8,17,0.593985,13%,0.593984962
50,9/6/2018,17:08:22,30,14400 S I15 NB,1,6973,30.28,40.4829,-111.89984,6,1,0.1667,1,36343,61702,63502,,9,8,0.654135,6%,0.654135338
51,9/7/2018,15:34:47,57,645 W I215S WB,1,7957,172.84,40.63153,-111.88599,3,1,0.3333,2,24913,56087,59507,,10,14,0.759398,11%,0.759398496
52,9/10/2018,8:24:28,57,514 E I215S WB,1,5162,183.36,40.63021,-111.87047,3,1,0.3333,1,24384,30268,33688,,11,12,0.849624,9%,0.84962406
53,9/10/2018,9:47:48,17,7200 S I15 SB,1,3703,44.92,40.6154,-111.90573,5,2,0.4,3,24605,35268,36288,,12,11,0.932331,8%,0.932330827
