Number,Date ,Time,T5-T0 (Mins.),Location,Class,Affected Volume,Total Excess Travel Time,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction,Responding IMTs,MATSim Link,Start,End,,,,,,
174,5/2/2018,15:23:34,17,10000 S I15 NB,5,23063,3268.53,40.574,-111.90003,6,2,0.2083,2,24522,55414,56434,,,,,,
175,5/17/2018,10:54:18,173,272499 I15 SB,5,11789,7192,40.32209,-111.72703,5,4,0.7963,3,5936,39258,49638,,,,,,
176,5/24/2018,15:24:32,41,9000 S I15 NB,5,4673,2036.04,40.59016,-111.90093,5,1,0.2,2,24374,55472,57932,,,,,,
177,5/25/2018,14:19:30,57,278066 I15 SB,5,10606,3560.42,40.38231,-111.82782,7,3,0.2595,2,24932,51570,54990,,,,,,
178,5/30/2018,15:25:45,113,600 S I15 NB,5,19376,6338.41,40.74256,-111.90395,5,3,0.5327,2,37500,55545,62325,,,,,,
179,6/18/2018,8:10:02,88,9000 S I15 SB,5,12759,2142.23,40.58534,-111.89995,6,2,0.2167,2,24495,29402,34682,,,,,,
180,6/21/2018,1:24:31,186,2100 S I15 NB,5,18748,4450.53,40.14451,-111.64667,4,4,1.176,1,24514,5071,16231,,,,,,
181,6/21/2018,15:33:49,103,2300 N I215W NB,5,13558,2161.62,40.80255,-111.94913,3,1,0.3333,1,33522,56029,62209,,,,,,
182,7/18/2018,14:35:29,104,7200 S I15 NB,5,3744,2237.89,40.51509,-111.89093,6,3,0.62,2,24428,52529,58769,,,,,,
183,7/18/2018,14:48:49,24,12300 S I15 NB,5,11978,6355.07,40.31183,-111.72584,6,4,0.1667,2,24399,53329,54769,,,,,,
184,7/30/2018,8:03:20,15,11400 S I15 SB,5,10869,3673.17,40.42145,-111.87972,6,3,0.2,1,37500,29000,29900,,,,,,
185,7/30/2018,16:50:55,96,3400 S I15 SB,5,8549,2930.62,40.69615,-111.90163,6,3,0.3759,2,32819,60655,66415,,,,,,
186,7/31/2018,16:54:20,98,14793 S I15 SB,5,13154,3444.54,40.49472,-111.89096,6,3,0.2946,1,32819,60860,66740,,,,,,
187,8/23/2018,13:48:46,30,8500 S I15 NB,5,21447,2586.01,40.59016,-111.90093,6,2,0.1667,1,24929,49726,51526,,,,,,
188,9/7/2018,12:54:40,75,7500 S I15 NB,5,8361,2058.08,40.60594,-111.9049,6,3,0.1892,1,24420,46480,50980,,,,,,
189,9/7/2018,16:37:41,61,16423 S I15 SB,5,10124,4189.47,40.46225,-111.91381,6,4,0.5543,1,24876,59861,63521,,,,,,
