Iteration ; Total delay [hours] ; Total congestion toll payments [monetary units] ; Total travel time [hours]; Total user benefits [monetary units]; System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]
55 ; 141695.8088888889 ; 0.0 ; 1011052.9086111111 ; 1.2382890573345435E8;1.2382890573345435E8
56 ; 111935.225 ; 0.0 ; 980779.2780555555 ; 1.2458721460869293E8;1.2458721460869293E8
57 ; 159694.48583333334 ; 0.0 ; 1028034.7644444444 ; 1.2327477893687606E8;1.2327477893687606E8
58 ; 232440.59166666667 ; 0.0 ; 1101385.226111111 ; 1.214772010419617E8;1.214772010419617E8
59 ; 153046.62166666667 ; 0.0 ; 1022342.5544444445 ; 1.2365817347465031E8;1.2365817347465031E8
60 ; 125096.96777777778 ; 0.0 ; 993719.9580555556 ; 1.2454479898385255E8;1.2454479898385255E8
61 ; 197435.89361111113 ; 0.0 ; 1065635.0969444443 ; 1.2242660442567344E8;1.2242660442567344E8
62 ; 192592.88916666666 ; 0.0 ; 1061579.5241666667 ; 1.2308141832207388E8;1.2308141832207388E8
63 ; 134578.4075 ; 0.0 ; 1003493.9458333333 ; 1.2489452830706985E8;1.2489452830706985E8
64 ; 164399.23166666666 ; 0.0 ; 1032805.2783333333 ; 1.2400460398985057E8;1.2400460398985057E8
65 ; 139935.41 ; 0.0 ; 1008508.2722222222 ; 1.2463644311668904E8;1.2463644311668904E8
66 ; 1489075.4122222222 ; 0.0 ; 2355525.967777778 ; 7.600995778150144E7;7.600995778150144E7
67 ; 354100.2391666667 ; 0.0 ; 1226803.5030555555 ; 1.1702486595504889E8;1.1702486595504889E8
68 ; 355154.35083333333 ; 0.0 ; 1224639.5636111111 ; 1.1883216627897003E8;1.1883216627897003E8
69 ; 163659.08916666667 ; 0.0 ; 1033241.7033333334 ; 1.2400759436918911E8;1.2400759436918911E8
70 ; 138078.40972222222 ; 0.0 ; 1007301.5838888889 ; 1.2483016454333274E8;1.2483016454333274E8
71 ; 161263.01583333334 ; 0.0 ; 1029771.7183333334 ; 1.2411508686373228E8;1.2411508686373228E8
72 ; 206693.2838888889 ; 0.0 ; 1075467.0394444445 ; 1.2275668525397886E8;1.2275668525397886E8
73 ; 184956.42833333334 ; 0.0 ; 1053678.2683333333 ; 1.235062939547438E8;1.235062939547438E8
74 ; 219159.04277777777 ; 0.0 ; 1088373.4025 ; 1.2232993652711321E8;1.2232993652711321E8
75 ; 179860.58833333335 ; 0.0 ; 1048721.8008333333 ; 1.2412103434925981E8;1.2412103434925981E8
76 ; 162102.88472222222 ; 0.0 ; 1031272.0347222222 ; 1.2456493329057592E8;1.2456493329057592E8
77 ; 247681.61555555556 ; 0.0 ; 1116646.1569444444 ; 1.2232528688572069E8;1.2232528688572069E8
78 ; 218277.26833333334 ; 0.0 ; 1087666.225 ; 1.2282732561989143E8;1.2282732561989143E8
79 ; 181836.10861111112 ; 0.0 ; 1051228.4522222222 ; 1.2391311186131296E8;1.2391311186131296E8
80 ; 226148.41166666665 ; 0.0 ; 1095406.5830555556 ; 1.224133874867393E8;1.224133874867393E8
81 ; 244659.15583333332 ; 0.0 ; 1114100.8916666666 ; 1.2275814939179935E8;1.2275814939179935E8
82 ; 142054.72305555554 ; 0.0 ; 1011959.7277777778 ; 1.251686862976046E8;1.251686862976046E8
83 ; 333019.2808333333 ; 0.0 ; 1202018.5369444445 ; 1.1456541112310903E8;1.1456541112310903E8
84 ; 136394.40805555554 ; 0.0 ; 1006321.9672222222 ; 1.2581984256276275E8;1.2581984256276275E8
85 ; 278447.5863888889 ; 0.0 ; 1146999.995 ; 1.1976334865316585E8;1.1976334865316585E8
86 ; 76818.71944444445 ; 0.0 ; 946050.9108333334 ; 1.283031004221866E8;1.283031004221866E8
87 ; 70369.53166666666 ; 0.0 ; 939493.6555555556 ; 1.2849689697177605E8;1.2849689697177605E8
88 ; 69181.5725 ; 0.0 ; 938254.8022222222 ; 1.2853957600560635E8;1.2853957600560635E8
89 ; 68677.88972222223 ; 0.0 ; 937734.1697222223 ; 1.2856265024363488E8;1.2856265024363488E8
90 ; 67819.75166666666 ; 0.0 ; 936859.6322222222 ; 1.2858443950036937E8;1.2858443950036937E8
91 ; 67338.05166666667 ; 0.0 ; 936373.96 ; 1.2859536960901493E8;1.2859536960901493E8
92 ; 67192.50416666667 ; 0.0 ; 936216.2983333333 ; 1.2860714460767494E8;1.2860714460767494E8
93 ; 66777.86361111111 ; 0.0 ; 935806.8297222222 ; 1.2861476628588116E8;1.2861476628588116E8
94 ; 67035.12 ; 0.0 ; 936057.3913888889 ; 1.2861485250053513E8;1.2861485250053513E8
95 ; 66821.59861111111 ; 0.0 ; 935834.6111111111 ; 1.2861812546464027E8;1.2861812546464027E8
96 ; 66954.98333333334 ; 0.0 ; 935973.5133333333 ; 1.2860949986040983E8;1.2860949986040983E8
97 ; 66826.61333333333 ; 0.0 ; 935837.6786111111 ; 1.2861453919169527E8;1.2861453919169527E8
98 ; 66466.90833333334 ; 0.0 ; 935478.8611111111 ; 1.2861949425939149E8;1.2861949425939149E8
99 ; 66344.40222222223 ; 0.0 ; 935347.9666666667 ; 1.2862653894210453E8;1.2862653894210453E8
100 ; 66460.9275 ; 0.0 ; 935458.5711111111 ; 1.2862732594272366E8;1.2862732594272366E8
