ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	61.15102478248125	36.63078422236495	52.77472560208218	61.15148156320946
1	59.76797825498423	36.48798843092463	52.80112148820175	60.89127071026633
2	59.38220744712647	39.49802303119109	53.46312852799938	60.659811346521906
3	35.733549592874844	27.305175550853736	49.4862461773982	59.548828347304074
4	55.611218971974395	30.55348205015756	50.04078830272993	59.50253872941637
5	57.45321628507053	33.500185043069784	50.78740755773131	59.72142076873529
6	58.88597416178181	36.41943027295961	51.66219413210829	60.10176974277289
7	58.84897596774031	38.91247802998736	52.35437772663661	60.12515985909339
8	59.48906531352712	41.053467387135	53.06508963896512	60.526130604052625
9	59.182821805756156	42.86387079198147	53.5689382079135	60.4582397686926
10	59.74684893252777	44.420311544715794	54.12623945790847	60.81582839068056
11	58.57165028265995	45.367653386937526	54.34846311403949	60.571212879539154
12	59.204799531527634	46.4936503385345	54.70321777660289	60.69184258434754
13	60.348442194524	47.686775310319796	55.21204383276141	61.22576750806327
14	60.729292681351495	48.72237231290803	55.65650018018183	61.53821769790916
15	59.76077115174306	49.46377140413885	55.82651829793247	61.17992309512816
16	59.46610385394757	49.899831458463716	55.972737610726504	61.12322541579683
17	24.220127942107577	20.71310015499644	49.29781585700531	59.865059332662234
18	55.34382386276284	25.56289286544301	50.00728864857844	60.04520622562716
19	57.71802434251616	29.888676569531118	50.93135737131258	60.5042884553949
20	57.850204920372654	33.12041151345987	51.634717710854545	60.529340571333385
21	58.44938937786861	36.33739306067596	52.32075791021362	60.534127070132854
22	59.39898374697703	39.00469594513944	53.06168326344747	60.922138223989485
23	28.998775229376708	20.94228634775355	47.76745249878682	59.272014288558246
24	54.09633646353493	24.17288113873329	48.30881312646932	59.707746738862724
25	58.524859613319556	28.36550085254644	49.47778642437357	60.26202590071739
26	59.21426626892239	32.02265353135838	50.527487571650475	60.608493051489056
27	60.063864571147626	35.22756305515455	51.545243462443715	61.07219000091717
28	58.701818234889195	37.38980749700927	52.10961734270394	60.90850700773725
29	60.27994365035772	39.865782689379365	52.92795597787207	61.27755290764271
30	60.847994663740366	41.94804467725154	53.68689130577883	61.696314745884436
31	59.03140165721219	43.41295991168106	53.94911955041594	61.11920892829742
32	59.74759985247017	44.850019698492716	54.39219796976459	61.206108342941434
33	60.40610615744035	46.11402078956002	54.888975710092154	61.59625335710494
34	60.33393540891551	47.21022923784345	55.25978124770691	61.576348278161795
35	59.67156811270794	47.984565607857604	55.47118672051808	61.4317526878063
36	58.87129458889397	48.29937617443094	55.524616994629376	61.27249635840252
37	25.94154032776984	21.58114756908818	49.23259123060178	59.92999376020236
38	56.06802545389354	26.50978886822017	50.06169544016967	60.19829904618272
39	28.47832266834795	18.80865405928927	45.27834991345444	59.05326892000497
40	54.24150996398175	21.67984592846094	46.016389350073226	59.24289782911858
41	55.108349303313474	23.675618113188644	46.70993039365934	59.87430477566644
42	59.88360498827333	26.97489706661578	48.140046121938646	61.12928483873313
43	60.2118060160681	30.036102480367706	49.29417198486321	61.46314408952677
44	60.696552804336356	32.76860788484155	50.37139979499148	61.77857562966136
45	60.924536966689686	35.341862145663065	51.340851533659425	61.90775953825636
46	59.85005936325979	37.416617722472424	51.982370240072015	61.64447934767916
47	60.4922026481781	39.47746742425169	52.722078303159535	61.80422364141441
48	59.24914100368261	41.03379101306452	53.113926355238185	61.4046590072405
49	59.970804701257855	42.578927877690234	53.65418816250345	61.588067695405044
50	60.61210870340651	43.976932893730606	54.220598113499285	61.81913075210585
51	61.36541680065348	45.2517670308633	54.84261029556187	62.39510095588412
52	61.23775205872935	46.488045875425286	55.297697573454506	62.28049152790825
53	61.223600795834756	47.53769711613433	55.71841855793005	62.371886339529816
54	61.31006361883504	48.51024880323772	56.10403615143804	62.40556456403076
55	61.497863313455724	49.42311744922899	56.487583471781264	62.55758696081122
56	59.89454046638375	49.75563286661505	56.500125274838766	62.15099803994351
57	60.25395929395616	50.244402816242136	56.6434729469218	62.148050901370915
58	60.918373144255284	50.88487187214181	56.89496158030148	62.29422959831044
59	61.31007998370248	51.48297964537542	57.169593807739886	62.502752015313575
60	61.23651300516602	52.025248267228974	57.37422977374567	62.50421967152245
61	61.5381843265022	52.56222326914471	57.61649985143702	62.635687153951636
62	61.315889320126445	52.85711943649819	57.772784986842645	62.69471242653677
63	61.48948545531488	53.27490903843104	57.94641360854422	62.68291940373242
64	30.542387907765427	26.809607727117346	52.12659800904714	61.604890137340696
65	55.33454126061659	29.439946669625563	52.32976583313834	61.57622608271195
66	60.10639289663409	33.81127592271952	53.32230362707923	62.07480906576453
67	58.709909646504435	36.81900426186342	53.78455693675367	61.902625318669614
68	53.85687024551224	34.41660099942333	53.225847841019004	61.63790387663278
69	60.75721781616228	38.14400801718399	54.1433812546808	62.08217483593442
70	61.60871299504122	41.03950415802389	54.99201544657896	62.72415438023677
71	61.850906269992564	43.591851072638825	55.679585578238616	62.852169166719825
72	61.172529605317855	45.55536296334699	56.12285784329144	62.70230790658688
73	61.44477392338738	47.051910977737	56.56999345654848	62.88488184888034
74	62.146770847766724	48.613217630082275	57.06516697579801	63.103707370401274
75	60.33963118245881	49.418210647040006	57.112708763209156	62.62774440756325
76	59.21850436126762	49.47260872896984	57.00256379273536	62.37462154144305
77	59.858024002616006	49.78627211647403	57.05969662531817	62.462021083347906
78	60.50278178837559	50.400332400573504	57.202818449718514	62.582892367089286
79	60.270064023697074	50.91624847969861	57.26309790127076	62.370602726241074
80	61.367228050628185	51.597797597695134	57.546677259756486	62.73917920279246
81	62.08426840129848	52.26669734942983	57.87629882994122	63.13317700995939
82	61.94619470474498	52.689051479420606	58.08574834288297	63.262967115523885
83	62.10948648242815	53.15842374425613	58.29281336340992	63.31024627001092
84	61.43449035686041	53.41887804172171	58.34823619328999	63.14705806008261
85	62.42455580726449	53.91139111961528	58.609232610215756	63.43958180335353
86	63.8307300987976	54.55520080200187	58.90871513891283	63.89218797630862
87	63.91258424311563	54.55051173009366	58.91279439227208	63.94150954151411
88	63.93613374330844	54.54763540425688	58.91171923263516	63.953872400994754
89	63.94932042850754	54.54556045521266	58.91080883813427	63.96141345877493
90	63.95873252425202	54.54466802721348	58.91027265123249	63.964898436547806
91	63.96152094689603	54.544062049140294	58.90959715330382	63.96549809174251
92	63.965141781004604	54.54336355260854	58.909525891155376	63.96844452782478
93	63.96919453606836	54.542912620051965	58.909675892802795	63.97150756342161
94	63.96851421000842	54.54242702242059	58.90907722212552	63.97068767580485
95	63.968989639311815	54.54206443935967	58.90873761482306	63.970586056173346
96	63.97519088652137	54.54190192402693	58.90965858088978	63.97634741951132
97	63.97518803892402	54.54175574620343	58.90942670477321	63.976406034065036
98	63.974434876521876	54.5415831349799	58.909032473265505	63.97548400379158
99	63.975039463791695	54.54141387977783	58.908943565267414	63.976007837007636
100	63.97519050007586	54.54129597221648	58.908780097879934	63.97612475610974
