ID,x,y,IMTs,Cap reduction,Start,End,Year
343,-111.90475,40.736823,1,0.2,62102,64600,2022
344,-111.763778,40.346539,1,0.166666667,68753,69857,2022
345,-111.903967,40.599264,1,0.285714286,47676,49558,2022
346,-111.726879,40.321151,2,0.166666667,62583,63960,2022
347,-111.808375,40.643528,2,0.5,70276,73868,2022
348,-111.95315,40.703296,2,0.5,59685,64380,2022
349,-111.792922,40.365209,2,0.166666667,56929,61622,2022
350,-111.890772,40.431127,1,0.833333333,50937,59486,2022
351,-111.90236,40.649847,1,0.4,64324,68640,2022
352,-111.895376,40.634373,3,0.25,35767,42225,2022
353,-111.792922,40.365209,2,0.333333333,49508,53220,2022
354,-111.952814,40.664689,1,0.333333333,26231,31943,2022
355,-111.808465,40.373184,2,0.5,63042,65370,2022
356,-111.928225,40.643645,1,0.75,77519,79079,2022
357,-111.835579,40.39191,3,0.333333333,42749,50518,2022
358,-111.914284,40.763745,2,0.2,36076,38412,2022
359,-111.708179,40.750653,2,0.666666667,56022,60873,2022
360,-111.855009,40.719771,1,0.333333333,56997,57720,2022
361,-111.903011,40.442142,2,1,82661,95091,2022
362,-111.72593,40.301853,1,0.166666667,61025,64008,2022
363,-111.901402,40.65645,1,0.4,31379,33801,2022
364,-111.902252,40.480607,2,0.666666667,31238,34702,2022
365,-111.891485,40.492398,2,0.2,69744,74640,2022
366,-111.741641,40.741134,1,0.5,62938,65640,2022
367,-111.677837,40.226604,1,0.166666667,53623,55950,2022
368,-111.893926,40.541228,1,0.142857143,82486,87840,2022
369,-111.778344,40.355866,1,0.166666667,66052,69779,2022
370,-111.863979,40.410606,1,0.4,34838,48480,2022
371,-111.903011,40.442142,1,0.166666667,35298,37471,2022
372,-111.905066,40.63583,1,0.166666667,69230,70797,2022
373,-111.905403,40.607173,1,0.333333333,66268,70118,2022
374,-111.73498,40.328045,2,0.333333333,39445,42161,2022
375,-111.849765,40.401041,2,0.833333333,76601,84534,2022
376,-111.904691,40.722344,1,0.25,53250,60000,2022
377,-111.823212,40.379328,1,0.333333333,25240,30900,2022
378,-111.671987,40.112733,1,0.4,66591,72483,2022
379,-111.911227,40.467787,4,0.333333333,4199,21810,2022
380,-111.899959,40.571426,2,0.428571429,50347,54919,2022
381,-111.72593,40.301853,1,0.333333333,71491,73710,2022
382,-111.904691,40.722344,1,1,60963,67038,2022
383,-111.836246,40.717537,1,0.333333333,40391,42738,2022
384,-111.892927,40.53585,2,0.2,70789,74297,2022
385,-111.646866,40.161636,2,0.4,59419,62735,2022
386,-111.741641,40.741134,3,1,81365,90009,2022
387,-111.90236,40.649847,1,0.142857143,58152,62520,2022
388,-111.657734,40.74385,2,1,67401,81489,2022
389,-111.741641,40.741134,1,1,38479,44002,2022
390,-111.904691,40.722344,1,0.5,62898,66301,2022
391,-111.901258,40.667391,1,0.166666667,62640,64194,2022
392,-111.64694,40.190632,2,0.666666667,30824,34928,2022
393,-111.6469407,40.19063261,1,0.6,75226,78591,2022
394,-111.72593,40.301853,1,0.5,58077,62372,2022
395,-111.949915,40.731947,1,0.2,60452,64860,2022
396,-111.863979,40.410606,1,0.428571429,28113,33311,2022
397,-111.792922,40.365209,2,0.5,51537,55560,2022
398,-111.911227,40.467787,1,0.2,30988,35547,2022
399,-111.684865,40.10270588,1,0.333333333,57698,63180,2022
400,-111.903627,40.708358,1,0.5,60328,61088,2022
401,-111.72593,40.301853,1,0.166666667,63185,65737,2022
402,-111.849765,40.401041,1,0.5,58574,61730,2022
403,-111.808465,40.373184,2,0.285714286,65147,66109,2022
404,-111.90475,40.736823,1,0.5,32903,37316,2022
405,-111.73498,40.328045,1,0.166666667,56457,58128,2022
406,-111.922018,40.804528,1,0.5,63573,67448,2022
407,-111.901402,40.65645,2,0.4,65867,71127,2022
408,-111.90152,40.664677,2,0.333333333,62660,66040,2022
409,-111.90397,40.707874,2,0.333333333,31214,36603,2022
410,-111.792922,40.365209,1,0.333333333,56081,57900,2022
411,-111.778344,40.355866,1,0.5,56875,59054,2022
