Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73322.32917,946450.5569,1.17E+08,1.17E+08
1,149108.2108,1020357.542,1.14E+08,1.14E+08
2,1395342.963,2260347.112,7.23E+07,7.23E+07
3,275897.9967,1150852.314,1.09E+08,1.09E+08
4,201646.5544,1074438.137,1.12E+08,1.12E+08
5,217080.9989,1089616.529,1.12E+08,1.12E+08
6,180503.7606,1053180.736,1.13E+08,1.13E+08
7,228794.0511,1101259.781,1.12E+08,1.12E+08
8,1491213.625,2356193.041,6.71E+07,6.71E+07
9,381301.8522,1256964.952,1.05E+08,1.05E+08
10,233327.4919,1106520.959,1.11E+08,1.11E+08
11,295634.3722,1169005.85,1.09E+08,1.09E+08
12,241431.9589,1115198.07,1.11E+08,1.11E+08
13,292221.8444,1165670.162,1.10E+08,1.10E+08
14,267950.9136,1142151.974,1.11E+08,1.11E+08
15,221712.8997,1095134.724,1.13E+08,1.13E+08
16,163492.3464,1036956.746,1.14E+08,1.14E+08
17,137907.9114,1010528.102,1.15E+08,1.15E+08
18,172783.2317,1045103.681,1.14E+08,1.14E+08
19,162006.6767,1034555.756,1.15E+08,1.15E+08
20,205997.1217,1077466.727,1.14E+08,1.14E+08
21,179154.2958,1051227.292,1.15E+08,1.15E+08
22,194303.4233,1066177.486,1.14E+08,1.14E+08
23,185605.1431,1057565.697,1.15E+08,1.15E+08
24,204403.0481,1076268.867,1.14E+08,1.14E+08
25,186461.0094,1058445.995,1.15E+08,1.15E+08
26,156705.4094,1028590.038,1.15E+08,1.15E+08
27,204713.7522,1076455.6,1.15E+08,1.15E+08
28,168167.92,1039673.023,1.15E+08,1.15E+08
29,151266.3356,1022653.728,1.16E+08,1.16E+08
30,325281.5056,1196411.124,1.10E+08,1.10E+08
31,1316375.64,2179938.388,6.74E+07,6.74E+07
32,259482.1089,1133942.543,1.11E+08,1.11E+08
33,210094.6275,1082193.467,1.15E+08,1.15E+08
34,140288.6228,1012164.386,1.17E+08,1.17E+08
35,168930.6964,1040249.065,1.15E+08,1.15E+08
36,1251399.927,2109544.212,6.97E+07,6.97E+07
37,387785.4322,1262895.371,1.08E+08,1.08E+08
38,313883.9917,1186883.467,1.11E+08,1.11E+08
39,171948.3136,1045000.511,1.16E+08,1.16E+08
