Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73400.86833,946534.0394,1.17E+08,1.17E+08
1,142930.2703,1014209.438,1.14E+08,1.14E+08
2,1611500.139,2470775.396,6.63E+07,6.63E+07
3,313029.3128,1189365.932,1.08E+08,1.08E+08
4,237340.5214,1110317.268,1.11E+08,1.11E+08
5,234211.0681,1107357.514,1.11E+08,1.11E+08
6,155637.5692,1028859.664,1.13E+08,1.13E+08
7,245669.0967,1118260.802,1.11E+08,1.11E+08
8,1679301.311,2544500.095,6.50E+07,6.50E+07
9,525011.8972,1403097.811,1.02E+08,1.02E+08
10,331004.5861,1205326.67,1.09E+08,1.09E+08
11,225943.8322,1100906.914,1.11E+08,1.11E+08
12,165405.1886,1039449.111,1.13E+08,1.13E+08
13,170090.0142,1043587.584,1.13E+08,1.13E+08
14,190306.3756,1063661.1,1.13E+08,1.13E+08
15,146026.4597,1019190.936,1.14E+08,1.14E+08
16,223839.2992,1096495.359,1.12E+08,1.12E+08
17,194115.3181,1067275.289,1.14E+08,1.14E+08
18,301361.4283,1174638.31,1.11E+08,1.11E+08
19,300345.2758,1173679.447,1.11E+08,1.11E+08
20,309424.9614,1183218.034,1.10E+08,1.10E+08
21,347081.3831,1220785.957,1.09E+08,1.09E+08
22,197897.2603,1071912.72,1.13E+08,1.13E+08
23,155829.1706,1028772.909,1.15E+08,1.15E+08
24,1580596.843,2437463.28,5.67E+07,5.67E+07
25,499919.6619,1377371.103,1.03E+08,1.03E+08
26,309418.57,1183352.476,1.11E+08,1.11E+08
27,231166.2419,1105344.559,1.13E+08,1.13E+08
28,140018.8328,1013444.438,1.16E+08,1.16E+08
29,149868.7731,1022368.034,1.16E+08,1.16E+08
30,140941.345,1013032.443,1.16E+08,1.16E+08
31,175178.295,1047417.024,1.15E+08,1.15E+08
32,237281.1964,1109462.233,1.14E+08,1.14E+08
33,199751.2219,1071971.504,1.14E+08,1.14E+08
34,203938.9736,1075974.478,1.14E+08,1.14E+08
35,170082.8089,1041942.538,1.15E+08,1.15E+08
36,166472.4833,1038187.432,1.16E+08,1.16E+08
37,166099.3606,1037486.351,1.16E+08,1.16E+08
38,228810.4125,1100110.834,1.14E+08,1.14E+08
39,174687.1275,1046322.29,1.15E+08,1.15E+08
40,495410.8594,1366820.819,9.92E+07,9.92E+07
41,142802.6797,1015484.544,1.16E+08,1.16E+08
42,187871.4247,1058587.054,1.15E+08,1.15E+08
43,137235.3675,1008203.264,1.17E+08,1.17E+08
44,117664.4067,987880.0922,1.18E+08,1.18E+08
45,163575.1119,1033540.864,1.17E+08,1.17E+08
46,170233.1458,1040073.478,1.17E+08,1.17E+08
47,138933.3283,1009199.503,1.18E+08,1.18E+08
48,188015.4414,1057860.749,1.16E+08,1.16E+08
49,245747.0811,1116041.292,1.15E+08,1.15E+08
50,1887530.889,2741096.496,4.58E+07,4.58E+07
51,822576.9131,1695933.553,9.26E+07,9.26E+07
52,318576.7089,1191098.712,1.12E+08,1.12E+08
53,170350.6753,1042373.479,1.17E+08,1.17E+08
54,171365.3331,1041866.291,1.17E+08,1.17E+08
55,194345.6697,1065328.65,1.16E+08,1.16E+08
56,196919.4272,1068128.087,1.16E+08,1.16E+08
57,223484.7506,1094692.639,1.16E+08,1.16E+08
58,171160.6103,1042512.12,1.17E+08,1.17E+08
59,159588.2625,1030486.201,1.18E+08,1.18E+08
60,130401.3311,1001159.409,1.19E+08,1.19E+08
61,1496596.79,2358720.28,6.54E+07,6.54E+07
62,461568.0414,1336567.005,1.07E+08,1.07E+08
63,272157.5719,1144027.419,1.15E+08,1.15E+08
64,1723065.229,2581438.403,5.51E+07,5.51E+07
65,286235.1972,1161965.699,1.12E+08,1.12E+08
66,297625.8133,1170014.248,1.14E+08,1.14E+08
67,224799.8794,1097333.755,1.15E+08,1.15E+08
68,348187.5572,1220827.59,1.11E+08,1.11E+08
69,201070.5864,1074053.138,1.17E+08,1.17E+08
70,195764.665,1068052.093,1.17E+08,1.17E+08
71,133171.1717,1005332.289,1.18E+08,1.18E+08
72,219565.1858,1090932.954,1.16E+08,1.16E+08
73,186254.1689,1058401.912,1.17E+08,1.17E+08
74,175458.1436,1046813.113,1.18E+08,1.18E+08
75,180905.5511,1052515.228,1.18E+08,1.18E+08
76,161834.0556,1033069.743,1.19E+08,1.19E+08
77,158305.8994,1029289.539,1.19E+08,1.19E+08
78,277977.4572,1148493.094,1.09E+08,1.09E+08
79,222922.7775,1094242.279,1.16E+08,1.16E+08
80,160629.2086,1031174.437,1.19E+08,1.19E+08
81,178503.4269,1048972.533,1.18E+08,1.18E+08
82,172821.1922,1043488.811,1.19E+08,1.19E+08
83,177801.2575,1048188.469,1.18E+08,1.18E+08
84,230075.1158,1100865.386,1.17E+08,1.17E+08
85,231325.3019,1101702.8,1.17E+08,1.17E+08
86,177053.285,1047394.247,1.19E+08,1.19E+08
87,141828.0389,1012116.566,1.20E+08,1.20E+08
88,194534.8831,1064336.707,1.19E+08,1.19E+08
89,184334.6617,1054678.216,1.19E+08,1.19E+08
90,166097.6367,1036049.775,1.20E+08,1.20E+08
91,81707.96,952112.9797,1.23E+08,1.23E+08
92,75511.46806,945812.0856,1.23E+08,1.23E+08
93,73068.01806,943333.1064,1.23E+08,1.23E+08
94,72383.49833,942628.4117,1.23E+08,1.23E+08
95,71933.44056,942172.6194,1.23E+08,1.23E+08
96,71417.98778,941633.6558,1.23E+08,1.23E+08
97,71286.44722,941494.6364,1.23E+08,1.23E+08
98,71295.21722,941495.915,1.23E+08,1.23E+08
99,70846.69667,941047.0314,1.23E+08,1.23E+08
100,71102.87278,941293.4414,1.23E+08,1.23E+08
