Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73195.61222,946330.0106,1.17E+08,1.17E+08
1,151124.6819,1022388.744,1.14E+08,1.14E+08
2,1607712.838,2465730.478,6.64E+07,6.64E+07
3,299538.9953,1175304.624,1.09E+08,1.09E+08
4,283469.8811,1156457.183,1.10E+08,1.10E+08
5,171878.0539,1044861.053,1.13E+08,1.13E+08
6,1379469.724,2242367.059,7.33E+07,7.33E+07
7,474950.9031,1351956.313,1.03E+08,1.03E+08
8,302801.9761,1177232.875,1.10E+08,1.10E+08
9,193381.0411,1067793.178,1.12E+08,1.12E+08
10,1515392.614,2377416.757,6.72E+07,6.72E+07
11,1217077.088,2087212.732,8.09E+07,8.09E+07
12,276733.1131,1153468.428,1.08E+08,1.08E+08
13,160138.6039,1034819.628,1.12E+08,1.12E+08
14,200189.7958,1073907.621,1.12E+08,1.12E+08
15,202184.5572,1076044.392,1.12E+08,1.12E+08
16,188372.5581,1061826.533,1.13E+08,1.13E+08
17,206902.9922,1080652.867,1.13E+08,1.13E+08
18,215391.6142,1088756.831,1.12E+08,1.12E+08
19,1531890.069,2391758.719,6.93E+07,6.93E+07
20,489257.5253,1367261.363,1.03E+08,1.03E+08
21,434430.6653,1309823.744,1.06E+08,1.06E+08
22,158244.2844,1033465.555,1.15E+08,1.15E+08
23,267169.0556,1141466.811,1.11E+08,1.11E+08
24,195058.3108,1069136.614,1.14E+08,1.14E+08
25,166121.3644,1040275.973,1.14E+08,1.14E+08
26,239783.0586,1113326.392,1.11E+08,1.11E+08
27,240178.1917,1113830.723,1.12E+08,1.12E+08
28,431574.5339,1305380.516,1.01E+08,1.01E+08
29,250431.7978,1125048.806,1.13E+08,1.13E+08
30,302884.2714,1176875.074,1.11E+08,1.11E+08
31,364719.1556,1238900.561,1.09E+08,1.09E+08
32,218229.7144,1092936.266,1.13E+08,1.13E+08
33,200518.22,1073949.626,1.14E+08,1.14E+08
34,168426.3086,1041767.794,1.16E+08,1.16E+08
35,268757.7725,1142218.548,1.12E+08,1.12E+08
36,1668407.1,2523314.093,5.26E+07,5.26E+07
37,474412.5178,1352059.058,1.04E+08,1.04E+08
38,552989.7414,1427875.52,9.92E+07,9.92E+07
39,193586.2856,1069808.92,1.14E+08,1.14E+08
40,144972.6661,1019259.054,1.16E+08,1.16E+08
41,171258.1736,1044816.171,1.16E+08,1.16E+08
42,186945.4692,1060280.466,1.15E+08,1.15E+08
43,174591.6122,1047971.4,1.15E+08,1.15E+08
44,144690.5622,1017924.137,1.16E+08,1.16E+08
45,157980.7797,1030642.992,1.16E+08,1.16E+08
46,233444.8083,1105586.913,1.14E+08,1.14E+08
47,203745.3411,1076656.744,1.15E+08,1.15E+08
48,604212.2478,1477067.705,1.03E+08,1.03E+08
49,240468,1114818.43,1.14E+08,1.14E+08
50,198180.8822,1071231.98,1.15E+08,1.15E+08
51,148411.8564,1021095.167,1.17E+08,1.17E+08
52,159218.9269,1031218.606,1.17E+08,1.17E+08
53,192477.3489,1064418.26,1.15E+08,1.15E+08
54,459666.8664,1331891.03,1.03E+08,1.03E+08
55,215817.3672,1089799.567,1.15E+08,1.15E+08
56,196216.5792,1068710.236,1.16E+08,1.16E+08
57,181595.1628,1053779.609,1.17E+08,1.17E+08
58,241541.0428,1113680.851,1.15E+08,1.15E+08
59,315829.4236,1187885.159,1.13E+08,1.13E+08
60,186059.3111,1058931.615,1.17E+08,1.17E+08
61,146313.5964,1017967.877,1.18E+08,1.18E+08
62,127103.8683,998604.4789,1.19E+08,1.19E+08
63,174989.4211,1045907.954,1.17E+08,1.17E+08
64,174879.8106,1045928.9,1.17E+08,1.17E+08
65,185653.2586,1056903.203,1.18E+08,1.18E+08
66,161340.3744,1032605.5,1.18E+08,1.18E+08
67,181429.6314,1052477.58,1.18E+08,1.18E+08
68,152209.7231,1023569.956,1.18E+08,1.18E+08
69,212932.3467,1083898.06,1.17E+08,1.17E+08
70,163498.6408,1034511.623,1.19E+08,1.19E+08
71,166317.1056,1037058.1,1.19E+08,1.19E+08
72,154316.3028,1024913.681,1.19E+08,1.19E+08
73,197426.8625,1067774.653,1.18E+08,1.18E+08
74,203590.9033,1073903.667,1.18E+08,1.18E+08
75,181136.9783,1051775.612,1.18E+08,1.18E+08
76,149729.7211,1020315.622,1.20E+08,1.20E+08
77,151369.8278,1021468.476,1.20E+08,1.20E+08
78,183874.0914,1053848.202,1.19E+08,1.19E+08
79,152318.1706,1022681.628,1.20E+08,1.20E+08
80,188458.1414,1058490.264,1.19E+08,1.19E+08
81,276281.4469,1146737.428,1.15E+08,1.15E+08
82,148308.5342,1019395.2,1.20E+08,1.20E+08
83,191491.4947,1061675.154,1.18E+08,1.18E+08
84,181494.29,1051856.892,1.19E+08,1.19E+08
85,224662.7122,1094840.872,1.18E+08,1.18E+08
86,91681.55361,962888.0817,1.23E+08,1.23E+08
87,80377.03583,951360.5681,1.23E+08,1.23E+08
88,81512.65583,952454.9944,1.23E+08,1.23E+08
89,90160.84167,961109.7867,1.23E+08,1.23E+08
90,84588.88417,955577.7328,1.23E+08,1.23E+08
91,81451.85333,952435.5992,1.23E+08,1.23E+08
92,80886.45222,951852.0136,1.23E+08,1.23E+08
93,80216.84722,951168.0858,1.23E+08,1.23E+08
94,80227.75583,951176.2533,1.23E+08,1.23E+08
95,79973.23028,950918.1711,1.23E+08,1.23E+08
96,79911.53111,950843.935,1.23E+08,1.23E+08
97,79850.75944,950785.28,1.23E+08,1.23E+08
98,79848.78944,950774.9333,1.23E+08,1.23E+08
99,79376.17583,950308.6381,1.23E+08,1.23E+08
100,79533.61028,950461.4994,1.23E+08,1.23E+08
