Iteration , Total delay [hours] , Total congestion toll payments [monetary units] , Total travel time [hours], Total user benefits [monetary units]," System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]"
81,158093.33638888889,0.0,1027914.5811111112,120266674.64230068,120266674.64230068
82,215483.65833333333,0.0,1085158.788611111,118500354.4214485,118500354.4214485
83,239568.7783333333,0.0,1109945.832222222,117805408.8247334,117805408.8247334
84,267591.75111111114,0.0,1137837.921388889,116348328.59020858,116348328.59020858
85,193810.08138888888,0.0,1063943.4952777778,119178294.08512671,119178294.08512671
86,221368.7469444445,0.0,1091121.7702777777,118852325.51813556,118852325.51813556
87,168047.29861111112,0.0,1038118.9830555556,120508686.42091364,120508686.42091364
88,250756.51194444444,0.0,1120360.6233333333,117740987.48140945,117740987.48140945
89,226231.29694444445,0.0,1096306.6358333332,118886816.24068408,118886816.24068408
90,189953.3452777778,0.0,1060069.7369444445,119792491.20068434,119792491.20068434
91,106610.43694444445,0.0,977021.0588888888,123184835.13911489,123184835.13911489
92,97402.71138888889,0.0,967691.8808333334,123511834.40756267,123511834.40756267
93,95232.71166666668,0.0,965460.1833333332,123586883.49842224,123586883.49842224
94,94559.78861111111,0.0,964760.4741666666,123614858.61686096,123614858.61686096
95,93643.1738888889,0.0,963827.7122222222,123639738.64533556,123639738.64533556
96,93134.56944444444,0.0,963307.2519444444,123655814.81721202,123655814.81721202
97,93242.44666666668,0.0,963399.3938888888,123662227.4555609,123662227.4555609
98,93149.02555555556,0.0,963295.3105555556,123661131.62855394,123661131.62855394
99,92176.82944444443,0.0,962319.3411111112,123686613.55071416,123686613.55071416
100,92030.13555555556,0.0,962169.5397222224,123685249.72450487,123685249.72450487
